Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Markus Granlund,EDM,F,158.69,19,9,29,23,0,3,1,4,1,45,22,7,6,33,22,14,1,10,4,2,0,1,1,1,1,0,0,1,1,1,0,0,0,20,17,48.9%,15.6%,66.7%,42.4%,30.3%,7.18,10.96,8.7,15.88,17.01,8.32,2.65,12.48,8.32,5.29,3.78,0.38,1.51,50.0%,0.0%,50.0%,2.27,100.0%,100.0%,1.51,0.38,1.89,9.07,0,0.38,0.38,1.13,7.56,6.43
Matt Benning,EDM,D,320.15,37,3,31,20,0,1,0,2,14,36,4,2,0,155,120,58,17,30,105,66,12,25,0,0,0,0,3,1,0,0,0,0,0,7,6,11.1%,5.6%,77.4%,37.4%,19.4%,6.93,5.81,3.75,10.68,6.75,0.75,0.37,29.05,22.49,10.87,5.62,3.19,19.68,62.9%,11.4%,37.9%,0,0.0%,0.0%,0.37,2.62,3,2.81,0,0,0,0.19,1.31,1.12
Mike Green,EDM,D,28.38,3,0,2,1,0,0,0,0,0,2,1,1,0,14,12,4,4,2,7,5,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,50.0%,50.0%,85.7%,28.6%,14.3%,6.34,4.23,2.11,8.46,4.23,2.11,2.11,29.59,25.37,8.46,4.23,8.46,14.8,71.4%,0.0%,40.0%,0,100.0%,0.0%,0,0,0,4.23,0,0,0,0,4.23,2.11
Oscar Klefbom,EDM,D,496.55,109,5,58,29,0,1,1,3,16,53,18,6,2,214,164,80,51,39,166,105,17,44,7,2,2,2,4,29,97,37,1,0,0,21,19,34.0%,11.3%,76.6%,37.4%,18.2%,13.17,7.01,3.5,16.68,6.4,2.18,0.73,25.86,19.82,9.67,4.71,6.16,20.06,63.3%,10.2%,41.9%,0.24,28.6%,28.6%,0.36,1.93,2.3,4.71,0,0.12,0.12,0.12,2.54,2.3
Patrick Russell,EDM,F,221.69,42,21,32,17,0,9,1,4,2,76,27,7,16,67,50,24,1,14,2,0,1,0,2,1,1,1,0,2,0,0,0,0,0,26,21,35.5%,9.2%,74.6%,35.8%,20.9%,11.37,8.66,4.6,15.97,20.57,7.31,1.89,18.13,13.53,6.5,3.79,0.27,0.54,0.0%,50.0%,0.0%,4.33,50.0%,50.0%,1.08,0.54,1.62,7.04,0,0.27,0.27,2.44,7.04,5.68
Riley Sheahan,EDM,F,325.34,33,18,66,41,1,13,2,8,4,74,40,9,24,79,57,25,5,19,14,4,5,3,3,3,2,8,3,0,0,0,0,0,0,47,41,54.1%,12.2%,72.2%,31.6%,24.1%,6.09,12.17,7.56,13.65,13.65,7.38,1.66,14.57,10.51,4.61,3.5,0.92,2.58,28.6%,35.7%,75.0%,4.43,100.0%,66.7%,1.48,0.74,2.21,9.96,0.18,0.37,0.55,2.4,8.67,7.56
Ryan Nugent-Hopkins,EDM,F,433.09,70,43,130,85,9,25,5,11,12,137,78,36,22,140,113,83,8,25,15,6,5,5,23,14,13,11,1,38,64,41,8,13,1,59,49,56.9%,26.3%,80.7%,59.3%,17.9%,9.7,18.01,11.78,21.47,18.98,10.81,4.99,19.4,15.66,11.5,3.46,1.11,2.08,40.0%,33.3%,83.3%,3.05,60.9%,56.5%,1.52,1.66,3.19,14.82,1.25,0.69,1.94,3.46,8.17,6.79
Sam Gagner,EDM,F,185.22,33,16,33,19,2,6,1,5,2,58,27,12,7,53,41,23,1,11,4,1,2,0,8,6,4,0,0,3,2,0,0,0,0,16,11,46.6%,20.7%,77.4%,43.4%,20.8%,10.69,10.69,6.15,16.84,18.79,8.75,3.89,17.17,13.28,7.45,3.56,0.32,1.3,25.0%,50.0%,0.0%,2.27,75.0%,50.0%,1.62,0.65,2.27,8.42,0.65,0.32,0.97,1.94,5.18,3.56
Tomas Jurco,EDM,F,67.13,12,3,16,11,0,4,0,2,3,17,8,3,9,25,20,11,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9,47.1%,17.6%,80.0%,44.0%,20.0%,10.73,14.3,9.83,20.56,15.19,7.15,2.68,22.34,17.88,9.83,4.47,0.89,1.79,50.0%,0.0%,100.0%,8.04,0.0%,0.0%,1.79,2.68,4.47,9.83,0,0,0,3.58,8.94,8.04
Tyler Benson,EDM,F,14.25,1,0,0,0,0,0,0,0,0,4,1,0,0,7,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,25.0%,0.0%,85.7%,42.9%,14.3%,4.21,0,0,4.21,16.84,4.21,0,29.47,25.26,12.63,4.21,8.42,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0
