Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Adam Henrique,ANA,F,255.54,29,11,61,38,0,14,4,4,6,58,27,14,13,59,51,21,3,7,9,4,2,1,17,11,5,1,0,8,18,10,0,5,0,36,28,46.6%,24.1%,86.4%,35.6%,11.9%,6.81,14.32,8.92,15.73,13.62,6.34,3.29,13.85,11.97,4.93,1.64,0.7,2.11,44.4%,22.2%,25.0%,3.05,64.7%,29.4%,0.94,1.41,2.35,11.97,0,0.94,0.94,3.29,8.45,6.57
Andrew Agozzino,ANA,F,34.78,3,2,10,7,2,3,0,0,1,7,2,0,2,12,11,6,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,28.6%,0.0%,91.7%,50.0%,8.3%,5.17,17.25,12.07,17.25,12.07,3.45,0,20.7,18.97,10.35,1.72,0,1.72,100.0%,0.0%,0.0%,3.45,0.0%,100.0%,0,1.72,1.72,15.52,3.45,0,3.45,5.17,12.07,6.9
Brendan Guhle,ANA,D,123.39,27,1,7,3,0,0,0,0,5,13,1,0,0,39,24,11,3,13,34,20,3,8,0,0,0,0,2,0,0,0,0,0,0,3,3,7.7%,0.0%,61.5%,28.2%,33.3%,13.13,3.4,1.46,14.59,6.32,0.49,0,18.96,11.67,5.35,6.32,1.46,16.53,58.8%,8.8%,40.0%,0,0.0%,0.0%,0,2.43,2.43,0.97,0,0,0,0,1.46,1.46
Cam Fowler,ANA,D,223.34,28,5,35,24,0,0,0,5,10,24,12,5,0,93,76,47,34,15,86,49,11,15,9,2,3,0,1,16,24,10,0,0,0,8,7,50.0%,20.8%,81.7%,50.5%,16.1%,7.52,9.4,6.45,13.97,6.45,3.22,1.34,24.98,20.42,12.63,4.03,9.13,23.1,57.0%,12.8%,30.6%,0,22.2%,33.3%,1.34,2.69,4.03,5.37,0,0,0,0,2.15,1.88
Carter Rowney,ANA,F,206.52,17,10,41,29,1,10,6,6,3,58,28,11,14,67,51,38,3,13,16,6,4,5,0,0,0,2,6,0,1,1,0,1,0,35,26,48.3%,19.0%,76.1%,56.7%,19.4%,4.94,11.91,8.43,13.36,16.85,8.13,3.2,19.47,14.82,11.04,3.78,0.87,4.65,37.5%,25.0%,83.3%,4.07,0.0%,0.0%,1.74,0.87,2.61,9.3,0.29,1.74,2.03,2.91,10.17,7.55
Christian Djoos,ANA,D,107.82,7,0,15,8,0,0,0,0,3,14,4,2,1,42,26,11,11,11,27,11,1,3,3,1,1,0,0,4,9,7,0,2,0,15,12,28.6%,14.3%,61.9%,26.2%,26.2%,3.9,8.35,4.45,8.35,7.79,2.23,1.11,23.37,14.47,6.12,6.12,6.12,15.03,40.7%,3.7%,27.3%,0.56,33.3%,33.3%,0,1.67,1.67,6.68,0,0,0,0,8.35,6.68
Danton Heinen,ANA,F,93.25,21,14,17,8,0,2,3,1,1,28,16,7,3,24,20,15,0,3,3,1,2,0,8,5,6,0,0,6,2,0,0,0,0,18,15,57.1%,25.0%,83.3%,62.5%,12.5%,13.51,10.94,5.15,18.66,18.02,10.29,4.5,15.44,12.87,9.65,1.93,0,1.93,33.3%,66.7%,0.0%,1.93,62.5%,75.0%,0.64,0.64,1.29,9.65,0,1.93,1.93,1.29,11.58,9.65
David Backes,ANA,F,37.47,8,3,6,4,0,1,0,0,2,12,4,1,1,8,6,5,2,2,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,33.3%,8.3%,75.0%,62.5%,25.0%,12.81,9.61,6.41,19.22,19.22,6.41,1.6,12.81,9.61,8.01,3.2,3.2,6.41,25.0%,25.0%,100.0%,1.6,0.0%,0.0%,0,3.2,3.2,6.41,0,0,0,1.6,0,0
Derek Grant,ANA,F,112.77,15,3,17,13,1,3,0,2,3,32,18,5,3,22,15,7,1,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,11,56.3%,15.6%,68.2%,31.8%,27.3%,7.98,9.05,6.92,14.9,17.03,9.58,2.66,11.71,7.98,3.72,3.19,0.53,0.53,100.0%,0.0%,0.0%,1.6,0.0%,0.0%,1.06,1.6,2.66,6.38,0.53,0,0.53,1.6,6.38,5.85
Devin Shore,ANA,F,90.88,14,9,12,10,1,1,1,1,0,19,11,5,2,19,17,5,3,2,4,1,2,1,0,0,0,0,0,0,1,1,0,1,0,15,12,57.9%,26.3%,89.5%,26.3%,10.5%,9.24,7.92,6.6,15.85,12.54,7.26,3.3,12.54,11.22,3.3,1.32,1.98,2.64,25.0%,50.0%,100.0%,1.32,0.0%,0.0%,0.66,0,0.66,7.26,0.66,0.66,1.32,0.66,9.9,7.92
Erik Gudbranson,ANA,D,156.16,24,1,22,9,0,0,0,1,12,16,2,0,0,67,42,14,15,21,47,34,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5%,0.0%,62.7%,20.9%,31.3%,9.22,8.45,3.46,12.68,6.15,0.77,0,25.74,16.14,5.38,8.07,5.76,18.06,72.3%,0.0%,38.2%,0,0.0%,0.0%,0.38,4.61,4.99,3.46,0,0,0,0,0.38,0
Hampus Lindholm,ANA,D,180.06,28,1,35,17,2,0,1,3,14,14,8,3,0,91,69,36,24,20,74,48,8,21,3,1,2,3,2,1,9,5,1,0,0,5,4,57.1%,21.4%,75.8%,39.6%,22.0%,9.33,11.66,5.66,15,4.67,2.67,1,30.32,22.99,12,6.66,8,24.66,64.9%,10.8%,43.8%,0,33.3%,66.7%,1,4.67,5.66,6,0.67,0.33,1,0,1.67,1.33
Isac Lundestrom,ANA,F,31.82,1,0,1,0,0,0,0,0,0,6,3,0,2,8,7,3,0,1,1,1,0,1,1,1,1,0,0,0,2,2,2,0,0,NA,NA,50.0%,0.0%,87.5%,37.5%,12.5%,1.89,1.89,0,1.89,11.31,5.66,0,15.09,13.2,5.66,1.89,0,1.89,100.0%,0.0%,100.0%,3.77,100.0%,100.0%,0,0,0,1.89,0,0,0,0,0,0
Jacob Larsson,ANA,D,282.1,39,1,32,19,0,2,0,0,8,37,6,1,0,134,96,36,14,29,97,67,8,25,0,0,0,0,2,0,0,0,0,0,0,12,9,16.2%,2.7%,71.6%,26.9%,21.6%,8.29,6.81,4.04,12.34,7.87,1.28,0.21,28.5,20.42,7.66,6.17,2.98,20.63,69.1%,8.2%,37.3%,0,0.0%,0.0%,0,1.7,1.7,5.1,0,0,0,0.43,2.55,1.91
Jakob Silfverberg,ANA,F,248.91,46,18,54,42,3,15,4,3,4,97,40,15,19,95,76,37,7,16,9,4,1,0,15,8,9,4,1,10,23,12,0,7,0,41,34,41.2%,15.5%,80.0%,38.9%,16.8%,11.09,13.02,10.12,21.21,23.38,9.64,3.62,22.9,18.32,8.92,3.86,1.69,2.17,44.4%,11.1%,0.0%,4.58,53.3%,60.0%,0.72,0.96,1.69,11.33,0.72,0.96,1.69,3.62,9.88,8.2
Jani Hakanpaa,ANA,D,65.27,16,1,4,2,0,0,0,1,0,3,0,0,0,22,19,9,1,2,30,6,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0%,0.0%,86.4%,40.9%,9.1%,14.71,3.68,1.84,16.55,2.76,0,0,20.22,17.47,8.27,1.84,0.92,27.58,20.0%,23.3%,0.0%,0,0.0%,0.0%,0.92,0,0.92,2.76,0,0,0,0,1.84,0.92
Josh Mahura,ANA,D,55.47,6,0,9,3,0,1,0,1,5,10,3,1,0,31,24,16,4,4,28,18,2,3,0,0,0,0,0,4,8,5,0,0,0,0,0,30.0%,10.0%,77.4%,51.6%,12.9%,6.49,9.73,3.24,9.73,10.82,3.24,1.08,33.53,25.96,17.31,4.33,4.33,30.29,64.3%,7.1%,16.7%,0,0.0%,0.0%,1.08,5.41,6.49,3.24,0,0,0,1.08,0,0
Josh Manson,ANA,D,211.2,23,5,36,26,2,1,0,3,14,30,10,6,0,108,80,36,23,23,74,43,9,14,2,0,0,0,5,1,0,0,0,0,0,6,5,33.3%,20.0%,74.1%,33.3%,21.3%,6.53,10.23,7.39,13.92,8.52,2.84,1.7,30.68,22.73,10.23,6.53,6.53,21.02,58.1%,12.2%,32.6%,0,0.0%,0.0%,0.85,3.98,4.83,5.4,0.57,0,0.57,0.28,1.7,1.42
Kieffer Sherwood,ANA,F,83.55,14,3,12,5,0,1,2,3,0,33,11,2,2,32,27,12,1,4,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,11,7,33.3%,6.1%,84.4%,37.5%,12.5%,10.05,8.62,3.59,13.64,23.7,7.9,1.44,22.98,19.39,8.62,2.87,0.72,4.31,66.7%,16.7%,0.0%,1.44,0.0%,0.0%,2.15,0,2.15,6.46,0,1.44,1.44,0.72,7.9,5.03
Korbinian Holzer,ANA,D,172.79,21,1,9,4,0,0,0,0,4,16,3,0,1,69,44,19,8,22,57,35,4,10,0,0,0,0,2,0,0,0,0,0,0,7,7,18.8%,0.0%,63.8%,27.5%,31.9%,7.29,3.13,1.39,8.68,5.56,1.04,0,23.96,15.28,6.6,7.64,2.78,19.79,61.4%,7.0%,28.6%,0.35,0.0%,0.0%,0,1.39,1.39,1.74,0,0,0,0,2.43,2.43
Matt Irwin,ANA,D,120.22,19,2,10,5,0,1,0,2,4,14,1,0,0,40,31,12,4,8,51,34,3,11,1,0,1,0,0,1,0,0,0,0,0,5,4,7.1%,0.0%,77.5%,30.0%,20.0%,9.48,4.99,2.5,11.98,6.99,0.5,0,19.96,15.47,5.99,3.99,2,25.45,66.7%,5.9%,32.4%,0,0.0%,100.0%,1,2,2.99,2,0,0,0,0.5,2.5,2
Max Comtois,ANA,F,84.5,16,6,15,12,0,4,0,3,3,10,3,2,3,28,22,12,2,6,0,0,0,0,2,1,1,0,0,2,3,3,0,0,0,12,11,30.0%,20.0%,78.6%,42.9%,21.4%,11.36,10.65,8.52,19.88,7.1,2.13,1.42,19.88,15.62,8.52,4.26,1.42,0,0.0%,0.0%,0.0%,2.13,50.0%,50.0%,2.13,2.13,4.26,6.39,0,0,0,2.84,8.52,7.81
Max Jones,ANA,F,189.59,30,13,23,13,2,4,2,3,1,41,19,4,3,42,35,14,2,6,4,0,2,1,2,0,0,1,2,2,4,2,2,0,0,31,26,46.3%,9.8%,83.3%,33.3%,14.3%,9.49,7.28,4.11,13.61,12.98,6.01,1.27,13.29,11.08,4.43,1.9,0.63,1.27,0.0%,50.0%,0.0%,0.95,0.0%,0.0%,0.95,0.32,1.27,6.01,0.63,0.63,1.27,1.27,9.81,8.23
Michael Del Zotto,ANA,D,221.55,32,2,34,21,1,4,0,1,12,22,9,3,0,109,77,42,11,25,65,45,5,12,8,3,1,1,0,4,8,4,0,0,0,8,6,40.9%,13.6%,70.6%,38.5%,22.9%,8.67,9.21,5.69,14.35,5.96,2.44,0.81,29.52,20.85,11.37,6.77,2.98,17.6,69.2%,7.7%,26.7%,0,37.5%,12.5%,0.27,3.25,3.52,5.69,0.27,0,0.27,1.08,2.17,1.62
Nick Ritchie,ANA,F,95.32,21,11,14,11,0,3,0,0,3,20,9,3,2,20,18,8,0,2,1,0,1,0,2,1,1,0,0,3,0,0,0,0,0,16,13,45.0%,15.0%,90.0%,40.0%,10.0%,13.22,8.81,6.92,20.14,12.59,5.67,1.89,12.59,11.33,5.04,1.26,0,0.63,0.0%,100.0%,0.0%,1.26,50.0%,50.0%,0,1.89,1.89,6.92,0,0,0,1.89,10.07,8.18
Nicolas Deslauriers,ANA,F,161.15,25,7,14,8,0,4,1,1,3,54,14,2,15,51,38,15,1,12,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,17,14,25.9%,3.7%,74.5%,29.4%,23.5%,9.31,5.21,2.98,12.29,20.11,5.21,0.74,18.99,14.15,5.58,4.47,0.37,1.86,20.0%,40.0%,0.0%,5.58,0.0%,100.0%,0.37,1.12,1.49,3.72,0,0.37,0.37,1.49,6.33,5.21
Ondrej Kase,ANA,F,164.3,49,19,32,21,1,5,3,4,2,66,38,12,11,43,32,21,5,10,1,0,1,0,9,3,5,0,0,5,3,1,0,1,0,18,14,57.6%,18.2%,74.4%,48.8%,23.3%,17.89,11.69,7.67,25.56,24.1,13.88,4.38,15.7,11.69,7.67,3.65,1.83,0.37,0.0%,100.0%,0.0%,4.02,33.3%,55.6%,1.46,0.73,2.19,9.5,0.37,1.1,1.46,1.83,6.57,5.11
Rickard Rakell,ANA,F,234.84,43,24,49,28,4,8,2,6,6,90,45,17,9,76,63,36,3,10,12,3,5,1,21,9,9,3,2,12,12,3,0,2,0,21,20,50.0%,18.9%,82.9%,47.4%,13.2%,10.99,12.52,7.15,18.14,22.99,11.5,4.34,19.42,16.1,9.2,2.55,0.77,3.07,25.0%,41.7%,33.3%,2.3,42.9%,42.9%,1.53,1.53,3.07,9.45,1.02,0.51,1.53,2.04,5.37,5.11
Ryan Getzlaf,ANA,F,280.25,39,17,106,74,4,17,4,12,11,88,47,23,16,113,87,55,13,23,13,5,6,4,21,4,3,3,1,13,30,14,4,6,3,31,26,53.4%,26.1%,77.0%,48.7%,20.4%,8.35,22.69,15.84,24.19,18.84,10.06,4.92,24.19,18.63,11.78,4.92,2.78,2.78,38.5%,46.2%,80.0%,3.43,19.0%,14.3%,2.57,2.36,4.92,17.77,0.86,0.86,1.71,3.64,6.64,5.57
Sam Carrick,ANA,F,46.58,7,4,9,3,0,1,0,0,1,19,8,1,3,13,9,7,0,4,1,0,0,0,3,3,2,0,0,0,1,1,0,0,0,5,5,42.1%,5.3%,69.2%,53.8%,30.8%,9.02,11.59,3.86,12.88,24.47,10.3,1.29,16.74,11.59,9.02,5.15,0,1.29,0.0%,0.0%,0.0%,3.86,100.0%,66.7%,0,1.29,1.29,10.3,0,0,0,1.29,6.44,6.44
Sam Steel,ANA,F,220.91,26,14,57,39,2,8,4,5,1,67,32,13,6,70,60,29,3,8,6,1,2,0,19,10,8,0,0,12,17,9,2,2,0,41,35,47.8%,19.4%,85.7%,41.4%,11.4%,7.06,15.48,10.59,17.65,18.2,8.69,3.53,19.01,16.3,7.88,2.17,0.81,1.63,16.7%,33.3%,0.0%,1.63,52.6%,42.1%,1.36,0.27,1.63,13.85,0.54,1.09,1.63,2.17,11.14,9.51
Sonny Milano,ANA,F,86.28,14,8,25,13,0,3,1,5,4,31,19,6,4,28,19,15,3,9,1,0,1,0,10,5,2,0,0,1,5,2,0,0,0,16,12,61.3%,19.4%,67.9%,53.6%,32.1%,9.74,17.38,9.04,18.78,21.56,13.21,4.17,19.47,13.21,10.43,6.26,2.09,0.7,0.0%,100.0%,0.0%,2.78,50.0%,20.0%,3.48,2.78,6.26,11.13,0,0.7,0.7,2.09,11.13,8.34
Troy Terry,ANA,F,119.06,25,14,30,19,0,6,2,2,3,50,38,13,9,26,23,17,1,3,2,0,2,0,2,0,0,0,0,2,10,4,1,2,0,19,15,76.0%,26.0%,88.5%,65.4%,11.5%,12.6,15.12,9.58,22.17,25.2,19.15,6.55,13.1,11.59,8.57,1.51,0.5,1.01,0.0%,100.0%,0.0%,4.54,0.0%,0.0%,1.01,1.51,2.52,12.6,0,1.01,1.01,3.02,9.58,7.56
Aaron Ness,ARI,D,116.72,10,2,12,7,0,0,0,0,5,18,5,2,0,49,31,11,4,17,30,19,3,3,0,0,0,0,0,0,0,0,0,0,0,3,2,27.8%,11.1%,63.3%,22.4%,34.7%,5.14,6.17,3.6,8.74,9.25,2.57,1.03,25.19,15.94,5.65,8.74,2.06,15.42,63.3%,10.0%,15.8%,0,0.0%,0.0%,0,2.57,2.57,3.6,0,0,0,0,1.54,1.03
Alex Goligoski,ARI,D,391.59,56,4,56,24,0,1,0,7,22,32,9,3,1,173,130,53,33,37,157,101,17,36,12,1,6,0,8,10,50,28,1,1,1,9,7,28.1%,9.4%,75.1%,30.6%,21.4%,8.58,8.58,3.68,12.26,4.9,1.38,0.46,26.51,19.92,8.12,5.67,5.06,24.06,64.3%,10.8%,35.6%,0.15,8.3%,50.0%,1.07,3.37,4.44,4.14,0,0,0,0.15,1.38,1.07
Barrett Hayton,ARI,F,105.16,13,7,23,17,4,5,0,3,2,33,23,9,3,30,22,8,1,8,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,12,9,69.7%,27.3%,73.3%,26.7%,26.7%,7.42,13.12,9.7,17.12,18.83,13.12,5.14,17.12,12.55,4.56,4.56,0.57,2.28,50.0%,50.0%,0.0%,1.71,0.0%,0.0%,1.71,1.14,2.85,10.27,2.28,0,2.28,2.85,6.85,5.14
Brad Richardson,ARI,F,195.89,23,12,20,15,0,4,3,3,1,35,12,3,4,33,27,10,4,6,14,7,3,2,1,1,1,5,1,0,0,0,0,0,0,33,24,34.3%,8.6%,81.8%,30.3%,18.2%,7.04,6.13,4.59,11.64,10.72,3.68,0.92,10.11,8.27,3.06,1.84,1.23,4.29,50.0%,21.4%,28.6%,1.23,100.0%,100.0%,0.92,0.31,1.23,4.9,0,0.92,0.92,1.23,10.11,7.35
Carl Soderberg,ARI,F,268.66,41,20,52,32,1,6,2,7,5,72,37,20,14,77,65,37,3,9,16,8,3,6,6,4,4,3,4,7,18,8,0,3,1,30,25,51.4%,27.8%,84.4%,48.1%,11.7%,9.16,11.61,7.15,16.3,16.08,8.26,4.47,17.2,14.52,8.26,2.01,0.67,3.57,50.0%,18.8%,75.0%,3.13,66.7%,66.7%,1.56,1.12,2.68,8.93,0.22,0.45,0.67,1.34,6.7,5.58
Christian Dvorak,ARI,F,294.26,36,19,69,34,3,5,2,7,9,50,26,11,12,74,61,34,4,11,22,12,7,7,8,6,5,0,1,9,16,4,1,0,1,46,41,52.0%,22.0%,82.4%,45.9%,14.9%,7.34,14.07,6.93,14.27,10.2,5.3,2.24,15.09,12.44,6.93,2.24,0.82,4.49,54.5%,31.8%,58.3%,2.45,75.0%,62.5%,1.43,1.84,3.26,10.81,0.61,0.41,1.02,1.02,9.38,8.36
Christian Fischer,ARI,F,189.78,31,8,23,16,0,7,0,2,1,68,25,2,8,58,50,20,1,7,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,25,23,36.8%,2.9%,86.2%,34.5%,12.1%,9.8,7.27,5.06,14.86,21.5,7.9,0.63,18.34,15.81,6.32,2.21,0.32,0.95,33.3%,0.0%,0.0%,2.53,50.0%,50.0%,0.63,0.32,0.95,6.32,0,0,0,2.21,7.9,7.27
Clayton Keller,ARI,F,276.99,52,21,89,61,2,17,6,6,11,86,45,18,16,75,65,42,8,8,4,2,0,2,27,16,14,0,0,19,30,17,3,5,0,38,31,52.3%,20.9%,86.7%,56.0%,10.7%,11.26,19.28,13.21,24.48,18.63,9.75,3.9,16.25,14.08,9.1,1.73,1.73,0.87,50.0%,0.0%,100.0%,3.47,59.3%,51.9%,1.3,2.38,3.68,15.6,0.43,1.3,1.73,3.68,8.23,6.71
Conor Garland,ARI,F,233.57,53,22,51,29,1,8,6,3,3,85,40,11,10,67,49,30,2,16,9,4,2,2,8,5,3,1,0,20,14,5,4,1,0,21,16,47.1%,12.9%,73.1%,44.8%,23.9%,13.61,13.1,7.45,21.06,21.83,10.28,2.83,17.21,12.59,7.71,4.11,0.51,2.31,44.4%,22.2%,50.0%,2.57,62.5%,37.5%,0.77,0.77,1.54,11.56,0.26,1.54,1.8,2.06,5.39,4.11
Derek Stepan,ARI,F,284.74,40,16,70,43,1,9,4,9,10,66,29,9,10,104,84,50,10,13,21,7,7,5,6,3,2,5,4,5,7,1,0,0,0,45,35,43.9%,13.6%,80.8%,48.1%,12.5%,8.43,14.75,9.06,17.49,13.91,6.11,1.9,21.91,17.7,10.54,2.74,2.11,4.43,33.3%,33.3%,71.4%,2.11,50.0%,33.3%,1.9,2.11,4,10.75,0.21,0.84,1.05,1.9,9.48,7.38
Ilya Lyubushkin,ARI,D,244.76,38,6,30,16,0,1,1,1,10,28,10,5,0,97,69,24,20,22,107,69,10,23,0,0,0,0,0,0,0,0,0,0,0,10,8,35.7%,17.9%,71.1%,24.7%,22.7%,9.32,7.35,3.92,13.24,6.86,2.45,1.23,23.78,16.91,5.88,5.39,4.9,26.23,64.5%,9.3%,33.3%,0,0.0%,0.0%,0.25,2.45,2.7,4.66,0,0.25,0.25,0.25,2.45,1.96
Jakob Chychrun,ARI,D,318.95,65,12,49,29,0,1,1,3,18,35,16,6,2,166,125,52,18,28,116,68,11,25,8,5,4,0,3,19,15,8,0,1,0,13,9,45.7%,17.1%,75.3%,31.3%,16.9%,12.23,9.22,5.46,17.68,6.58,3.01,1.13,31.23,23.51,9.78,5.27,3.39,21.82,58.6%,9.5%,36.8%,0.38,62.5%,50.0%,0.56,3.39,3.95,5.27,0,0.19,0.19,0.19,2.45,1.69
Jason Demers,ARI,D,270.3,33,6,51,23,0,3,1,4,14,19,4,1,2,97,69,28,16,25,114,76,10,28,0,0,0,0,3,3,2,0,0,0,0,12,8,21.1%,5.3%,71.1%,28.9%,25.8%,7.33,11.32,5.11,12.43,4.22,0.89,0.22,21.53,15.32,6.22,5.55,3.55,25.3,66.7%,8.8%,36.8%,0.44,0.0%,0.0%,0.89,3.11,4,7.33,0,0.22,0.22,0.67,2.66,1.78
Jordan Oesterle,ARI,D,273.72,49,5,50,26,2,2,1,4,12,30,15,4,0,151,113,43,22,35,100,66,3,30,3,2,0,0,3,6,21,10,0,0,0,8,8,50.0%,13.3%,74.8%,28.5%,23.2%,10.74,10.96,5.7,16.44,6.58,3.29,0.88,33.1,24.77,9.43,7.67,4.82,21.92,66.0%,3.0%,45.5%,0,66.7%,0.0%,0.88,2.63,3.51,7.45,0.44,0.22,0.66,0.44,1.75,1.75
Kyle Capobianco,ARI,D,16.38,1,0,3,1,0,0,0,0,1,4,0,0,0,5,3,1,3,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0%,0.0%,60.0%,20.0%,20.0%,3.66,10.99,3.66,7.33,14.65,0,0,18.32,10.99,3.66,3.66,10.99,14.65,75.0%,0.0%,33.3%,0,0.0%,0.0%,0,3.66,3.66,7.33,0,0,0,0,3.66,3.66
Lawson Crouse,ARI,F,227.72,33,12,27,21,1,5,0,4,4,57,22,2,11,64,49,22,3,10,13,6,3,2,0,0,0,4,3,0,0,0,0,0,0,36,30,38.6%,3.5%,76.6%,34.4%,15.6%,8.69,7.11,5.53,14.23,15.02,5.8,0.53,16.86,12.91,5.8,2.63,0.79,3.43,46.2%,23.1%,33.3%,2.9,0.0%,0.0%,1.05,1.05,2.11,5.01,0.26,0,0.26,1.32,9.49,7.9
Michael Grabner,ARI,F,136.94,18,9,26,17,1,6,3,4,5,30,17,4,7,42,33,14,4,8,3,2,1,0,0,0,0,5,0,0,0,0,0,0,0,16,12,56.7%,13.3%,78.6%,33.3%,19.0%,7.89,11.39,7.45,15.33,13.14,7.45,1.75,18.4,14.46,6.13,3.51,1.75,1.31,66.7%,33.3%,0.0%,3.07,0.0%,0.0%,1.75,2.19,3.94,7.45,0.44,1.31,1.75,2.63,7.01,5.26
Nick Schmaltz,ARI,F,265.83,36,13,87,52,3,15,3,12,6,84,61,22,10,90,71,41,2,19,11,5,2,2,27,18,18,0,0,19,36,18,4,3,1,39,29,72.6%,26.2%,78.9%,45.6%,21.1%,8.13,19.64,11.74,19.86,18.96,13.77,4.97,20.31,16.03,9.25,4.29,0.45,2.48,45.5%,18.2%,40.0%,2.26,66.7%,66.7%,2.71,1.35,4.06,15.57,0.68,0.68,1.35,3.39,8.8,6.55
Niklas Hjalmarsson,ARI,D,148.19,15,2,23,12,0,0,0,0,10,8,2,0,0,34,27,6,7,7,65,36,10,13,1,0,0,0,3,1,4,2,0,0,0,6,5,25.0%,0.0%,79.4%,17.6%,20.6%,6.07,9.31,4.86,10.93,3.24,0.81,0,13.77,10.93,2.43,2.83,2.83,26.32,55.4%,15.4%,36.1%,0,0.0%,0.0%,0,4.05,4.05,5.26,0,0,0,0,2.43,2.02
Oliver Ekman-Larsson,ARI,D,363,74,9,68,39,0,2,1,2,23,34,8,3,1,203,150,63,20,43,125,88,11,32,8,4,6,0,3,11,45,26,0,0,0,9,7,23.5%,8.8%,73.9%,31.0%,21.2%,12.23,11.24,6.45,18.68,5.62,1.32,0.5,33.55,24.79,10.41,7.11,3.31,20.66,70.4%,8.8%,36.4%,0.17,50.0%,75.0%,0.33,3.8,4.13,7.11,0,0.17,0.17,0.33,1.49,1.16
Phil Kessel,ARI,F,290.26,56,20,72,53,3,12,0,12,6,96,66,24,7,93,73,43,6,17,4,2,1,0,22,13,10,0,0,24,34,13,1,6,1,28,20,68.8%,25.0%,78.5%,46.2%,18.3%,11.58,14.88,10.96,22.53,19.84,13.64,4.96,19.22,15.09,8.89,3.51,1.24,0.83,50.0%,25.0%,0.0%,1.45,59.1%,45.5%,2.48,1.24,3.72,11.16,0.62,0,0.62,2.48,5.79,4.13
Taylor Hall,ARI,F,181.55,46,22,56,37,3,10,5,5,5,78,53,15,5,67,49,37,5,16,8,5,3,3,25,20,10,2,0,20,35,17,1,5,3,29,19,67.9%,19.2%,73.1%,55.2%,23.9%,15.2,18.51,12.23,27.43,25.78,17.52,4.96,22.14,16.19,12.23,5.29,1.65,2.64,62.5%,37.5%,60.0%,1.65,80.0%,40.0%,1.65,1.65,3.3,15.2,0.99,1.65,2.64,3.3,9.58,6.28
Vinnie Hinostroza,ARI,F,249.55,55,16,66,47,1,14,2,9,7,108,64,17,13,87,71,40,5,15,16,7,5,4,1,1,0,3,2,0,0,0,0,0,0,29,21,59.3%,15.7%,81.6%,46.0%,17.2%,13.22,15.87,11.3,24.52,25.97,15.39,4.09,20.92,17.07,9.62,3.61,1.2,3.85,43.8%,31.3%,57.1%,3.13,100.0%,0.0%,2.16,1.68,3.85,12.02,0.24,0.48,0.72,3.37,6.97,5.05
Anders Bjork,BOS,F,197.39,24,9,40,29,2,14,1,7,3,81,38,15,8,53,46,29,3,7,6,3,3,1,2,1,1,1,1,0,1,0,0,0,0,36,31,46.9%,18.5%,86.8%,54.7%,13.2%,7.3,12.16,8.82,16.11,24.62,11.55,4.56,16.11,13.98,8.82,2.13,0.91,1.82,50.0%,50.0%,33.3%,2.43,50.0%,50.0%,2.13,0.91,3.04,9.12,0.61,0.3,0.91,4.26,10.94,9.42
Anton Blidh,BOS,F,18.47,0,0,1,1,0,0,0,0,0,6,1,1,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16.7%,16.7%,75.0%,25.0%,25.0%,0,3.25,3.25,3.25,19.49,3.25,3.25,13,9.75,3.25,3.25,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,3.25,0,0,0,0,13,6.5
