,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
623,MARTIN.FRK,Martin Frk,21,33.6,8.928571429,7.142857143,23.21428571,17.857,5.357,10.714,7.143,0,0,0,0,0,,
621,MARTIN.JONES,Martin Jones,21,,,,,,,0,0,0,0,0,0,0,,
246,MARTIN.KAUT,Martin Kaut,19,57.1,15.76,6.3,22.07,17.86,11.56,9.46,2.1,1.05,3.15,2.101576182,0,0,COL,F
624,MARTIN.KAUT,Martin Kaut,21,20.48,2.92921074,8.787632221,14.6460537,8.788,2.929,2.929,2.929,5.86,2.92921074,0,2.92921074,0,,
571,MARTIN.MARINCIN,Martin Marincin,18,78.01,12.31,6.15,20.77,4.61,1.54,21.54,13.08,7.691,41.53313678,29.22702218,4.614792975,7.691321625,TOR,D
781,MARTIN.MARINCIN,Martin Marincin,19,133.47,13.94,4.95,18.88,4.95,1.35,20.23,7.19,7.19,20.23,11.23848056,2.697235334,7.192627557,TOR,D
103,MARTIN.NECAS,Martin Necas,18,54.02,8.89,13.33,28.88,17.77,12.22,16.66,10,4.44,,,,,CAR,C
135,MARTIN.NECAS,Martin Necas,19,363.07,7.93,13.72,21.65,16.53,11.57,16.2,9.75,2.81,1.98,0.661029554,0.99154433,0.165257388,CAR,F
29,MARTIN.NECAS,Martin Necas,20,14.31666667,16.76367869,0,25.14551804,20.95459837,12.57275902,16.76367869,8.381839346,4.190919673,0,0,0,0,CAR,C
625,MARTIN.NECAS,Martin Necas,21,400.08,11.69756301,12.59737555,31.19350135,18.296,11.248,6.299,5.249,2.25,1.799625078,0.899812539,0.599875026,0.149968757,,
871,MASON.APPLETON,Mason Appleton,19,171.03,9.47,8.77,18.24,20.7,9.12,15.79,9.12,2.46,4.21,2.104893878,1.052446939,0.701631293,WPG,F
317,MASON.APPLETON,Mason Appleton,20,9.333333333,12.85714286,19.28571429,32.14285714,0,0,6.428571429,0,0,0,0,0,0,WPG,C
626,MASON.APPLETON,Mason Appleton,21,276.05,7.389965586,6.085854012,16.95345046,16.519,7.607,6.738,4.564,1.96,1.521463503,0.217351929,0.652055787,0,,
627,MASON.GEERTSEN,Mason Geertsen,21,45.58,2.632541133,0,2.632541133,9.214,2.633,1.316,0,0,5.265082267,3.9488117,0,2.632541133,,
628,MASON.MARCHMENT,Mason Marchment,21,267.32,13.46717376,6.958039778,24.91427146,18.63,9.651,7.407,5.162,1.35,1.12226448,0,0.673358688,0,,
629,MASON.MCTAVISH,Mason McTavish,21,44.87,10.69836553,6.686478454,21.39673105,16.048,12.036,5.349,4.012,1.34,1.337295691,0,1.337295691,0,,
630,MASON.SHAW,Mason Shaw,21,16.33,14.69387755,3.673469388,22.04081633,18.367,0,3.673,3.673,0,0,0,0,0,,
405,MATHEW.BARZAL,Mathew Barzal,18,143.77,6.68,17.95,31.3,29.63,22.54,20.45,16.28,2.09,,,,,NYI,C
543,MATHEW.BARZAL,Mathew Barzal,19,408.95,11.74,18.78,30.52,31.98,24.8,16.29,12.76,2.49,1.76,0.733586013,0.58686881,0.293434405,NYI,F
138,MATHEW.BARZAL,Mathew Barzal,20,15.58333333,19.2513369,34.65240642,61.60427809,34.65240642,30.80213904,15.40106952,15.40106952,0,3.850267381,0,0,0,NYI,C
631,MATHEW.BARZAL,Mathew Barzal,21,509.9,8.119239066,17.29750932,31.41792508,26.005,21.181,8.355,7.766,0.82,2.000392234,0.706020788,0.588350657,0.588350657,,
64,MATHIAS.BROME,Mathias Brome,20,10.9,5.504587156,0,5.504587156,11.00917431,0,16.51376147,11.00917431,0,0,0,0,0,DET,L
556,MATHIEU.JOSEPH,Mathieu Joseph,18,144.5,11.21,9.55,23.67,21.59,12.04,14.12,7.89,2.08,,,,,T.b,RW
754,MATHIEU.JOSEPH,Mathieu Joseph,19,150.93,7.95,5.57,13.52,21.07,11.53,10.34,4.77,1.99,2.39,0.795070563,0.795070563,0.397535281,T.B,F
632,MATHIEU.JOSEPH,Mathieu Joseph,21,318.02,10.37681463,9.622137205,23.58366962,20.376,12.075,7.358,5.471,0.94,1.320685499,0.188669357,0.754677428,0.188669357,,
511,MATHIEU.OLIVIER,Mathieu Olivier,19,34.45,5.22,0,5.22,17.41,3.48,10.45,6.97,1.74,1.74,1.741654572,0,0,NSH,F
633,MATHIEU.OLIVIER,Mathieu Olivier,21,29.57,4.058624577,6.087936866,12.17587373,18.264,6.088,10.147,10.147,0,0,0,0,0,,
641,MATHIEU.PERREAULT,Mathieu Perreault,18,104.98,8.57,10.29,23.43,21.72,11.43,10.86,2.86,1.71,,,,,WPG,LW
872,MATHIEU.PERREAULT,Mathieu Perreault,19,152.73,11.79,14.54,26.32,16.89,6.68,15.71,4.71,1.18,1.18,0.785700255,0,0.785700255,WPG,F
318,MATHIEU.PERREAULT,Mathieu Perreault,20,7.25,8.275862069,0,16.55172414,0,0,16.55172414,0,0,0,0,0,0,WPG,L
634,MATHIEU.PERREAULT,Mathieu Perreault,21,79.38,1.51165232,5.29078312,8.31408776,10.582,3.779,6.047,4.535,0,0.75582616,0.75582616,0,0,,
635,MATIAS.MACCELLI,Matias Maccelli,21,52.8,6.818181818,6.818181818,17.04545455,14.773,11.364,9.091,5.682,4.55,2.272727273,0,1.136363636,0,,
441,MATS.ZUCCARELLO,Mats Zuccarello,18,175.3,8.56,8.56,20.19,20.54,9.24,14.38,7.87,3.42,,,,,NYR,LW
425,MATS.ZUCCARELLO,Mats Zuccarello,19,250.79,9.09,7.9,16.99,20.58,7.66,15.31,7.66,2.87,2.39,0.717731967,1.196219945,0.239243989,MIN,F
636,MATS.ZUCCARELLO,Mats Zuccarello,21,423.6,9.065155807,11.75637394,26.34560906,14.731,10.057,7.507,5.807,0.85,1.558073654,0.283286119,0.849858357,0,,
257,MATT.BENNING,Matt Benning,18,414.6333333,12.88,2.32,15.19,6.801,1.013,19.25,6.51,8.54,27.92829006,19.24592009,2.025886325,5.788246644,EDM,D
340,MATT.BENNING,Matt Benning,19,320.15,6.93,3.75,10.68,6.75,0.75,22.49,10.87,5.62,19.68,12.36920194,2.248945807,4.685303764,EDM,D
638,MATT.BOLDY,Matt Boldy,21,231,11.94805195,9.61038961,27.01298701,24.416,14.026,7.532,5.714,1.82,1.038961039,0,0.779220779,0,,
182,MATT.CALVERT,Matt Calvert,18,133,7.22,6.77,16.69,22.56,9.02,12.18,7.669,2.707,,,,,COL,LW
247,MATT.CALVERT,Matt Calvert,19,164.17,11.33,5.85,17.18,22.29,14.25,15.35,8.04,3.65,1.46,0.730949625,0,1.096424438,COL,F
485,MATT.CULLEN,Matt Cullen,18,114.05,7.37,10,22.1,15.26,5.26,11.57,6.31,2.1,,,,,PIT,LW
673,MATT.DUCHENE,Matt Duchene,18,232.43,10.84,14.71,31.24,16.26,11.62,13.94,6.97,2.84,,,,,OTT,C
512,MATT.DUCHENE,Matt Duchene,19,311.23,8.68,14.27,22.94,21.4,15.62,12.34,8.68,2.12,1.35,0.578350416,0.578350416,0,NSH,F
118,MATT.DUCHENE,Matt Duchene,20,12.2,34.42622951,19.67213115,78.68852459,63.93442623,59.01639344,19.67213115,4.918032787,9.836065574,4.918032787,4.918032787,0,0,NSH,C
639,MATT.DUCHENE,Matt Duchene,21,424.7,11.3020956,9.041676478,25.57099129,18.083,13.28,7.911,6.216,0.85,1.554038145,0.706380975,0.56510478,0,,
321,MATT.DUMBA,Matt Dumba,18,274.73,14.63,4.8,24.46,7.43,3.06,23.6,11.4,5.5,20.09245441,11.57500091,3.712736141,5.023113602,MIN,D
426,MATT.DUMBA,Matt Dumba,19,353.31,12.4,2.72,15.11,6.62,1.87,22.93,9.85,5.6,19.02,10.01952959,2.717160567,3.73609578,MIN,D
640,MATT.DUMBA,Matt Dumba,21,425.03,9.31691632,4.65845816,17.92800565,5.082,1.976,10.164,7.482,1.13,22.02180221,12.56372049,2.117480982,4.65845816,,
62,MATT.GRZELCYK,Matt Grzelcyk,18,154.05,8.96,7.01,18.31,13.24,4.28,25.71,15.97,4.67,54.52775073,31.54819864,8.568646543,11.68451801,BOS,D
76,MATT.GRZELCYK,Matt Grzelcyk,19,334.56,10.04,4.66,14.71,6.28,1.97,19.19,11.48,4.3,18.29,10.93974175,1.076040172,2.69010043,BOS,D
641,MATT.GRZELCYK,Matt Grzelcyk,21,471.87,9.790901385,5.721955355,19.96326646,6.103,2.925,9.028,7.756,1.91,19.45464821,10.55382877,2.543091269,2.670245832,,
319,MATT.HENDRICKS,Matt Hendricks,18,65.09,8.3,9.22,19.36,14.75,3.69,6.5,1.8,3.7,,,,,MIN,C
394,MATT.IRWIN,Matt Irwin,18,11.27,5.32,0,5.32,0,0,0,0,31.943,,,,,NSH,D
20,MATT.IRWIN,Matt Irwin,19,120.22,9.48,2.5,11.98,6.99,0.5,15.47,5.99,3.99,25.45,16.96889037,1.497255032,5.489935119,ANA,D
513,MATT.IRWIN,Matt Irwin,19,76.19,14.96,4.73,19.69,8.66,3.94,25.99,9.45,4.73,21.26,15.75009844,0,6.300039375,NSH,D
642,MATT.IRWIN,Matt Irwin,21,56.32,11.71944362,1.065403966,17.04646345,18.112,3.196,2.131,2.131,6.39,25.56969518,15.98105949,2.130807931,5.327019828,,
643,MATT.KIERSTED,Matt Kiersted,21,17.82,10.10289991,3.367633302,16.83816651,3.368,0,6.735,3.368,0,16.83816651,10.10289991,3.367633302,3.367633302,,
314,MATT.LUFF,Matt Luff,18,51.73,9.28,2.32,6.96,9.279,3.48,15.08,8.12,5.8,,,,,L.A,Rw
398,MATT.LUFF,Matt Luff,19,42.13,11.39,14.24,25.63,21.36,5.7,22.78,8.54,1.42,1.42,0,0,0,L.A,F
644,MATT.LUFF,Matt Luff,21,93.77,12.15783861,7.678634909,21.116246,12.798,6.399,4.479,1.28,0,3.199431212,1.279772485,1.279772485,0.639886242,,
417,MATT.MARTIN,Matt Martin,18,98.68,9.73,5.47,17.63,17.02,2.43,10.34,5.47,1.82,,,,,NYI,LW
544,MATT.MARTIN,Matt Martin,19,181.2,10.93,3.97,14.9,15.56,2.98,14.9,4.64,2.65,2.65,0,0.331125828,0,NYI,F
139,MATT.MARTIN,Matt Martin,20,9.116666667,13.16270567,19.7440585,32.90676417,26.32541133,13.16270567,13.16270567,6.581352833,0,0,0,0,0,NYI,L
645,MATT.MARTIN,Matt Martin,21,361.92,4.144600507,4.310384527,9.781257196,12.6,3.481,5.471,3.813,1.16,1.989408243,0.16578402,1.160488142,0.16578402,,
637,MATT.MURRAY,Matt Murray,21,,,,,,,0,0,0.4,0,0,0,0,,
190,MATT.NIETO,Matt Nieto,18,125.87,7.63,10.49,23.36,20.5,9.53,20.497,10.964,2.383,,,,,COL,RW
248,MATT.NIETO,Matt Nieto,19,279.89,8.15,12.43,20.58,17.79,7.72,16.94,9.86,1.71,4.93,2.14369931,1.714959448,1.500589517,COL,F
646,MATT.NIETO,Matt Nieto,21,260.45,5.759262814,8.754079478,17.50815896,15.896,8.754,5.99,3.456,0.69,1.151852563,0.460741025,0,0,,
651,MATT.NISKANEN,Matt Niskanen,18,288.69,8.73,4.57,18.71,11.64,1.66,25.15,14.13,7.27,41.15140808,22.65405799,4.572378676,8.313415775,WSH,D
629,MATT.NISKANEN,Matt Niskanen,19,567.93,8.56,4.01,12.57,7.5,0.63,22.4,10.35,5.39,18.38,9.191273572,2.324230099,3.697638794,PHI,D
332,MATT.READ,Matt Read,18,51.95,8.08,8.08,23.1,19.63,8.08,12.7,8.1,3.5,,,,,MIN,Rw
399,MATT.ROY,Matt Roy,19,219.12,9.58,4.93,14.51,5.75,1.37,17.8,7.67,5.2,18.35,9.036144578,1.369112815,4.381161008,L.A,D
647,MATT.ROY,Matt Roy,21,438.42,9.169359437,4.516251663,18.6124311,6.432,3.285,7.664,4.653,1.92,21.07584109,12.72761832,2.189697776,4.242539441,,
485,MATT.TENNYSON,Matt Tennyson,19,38.52,7.79,0,7.79,6.23,3.12,14.02,6.23,4.67,17.14,10.90342679,1.557632399,0,N.J,D
648,MATT.TENNYSON,Matt Tennyson,21,41.53,7.223113965,0,10.11235955,4.334,1.445,1.445,1.445,2.89,11.55698234,7.223113965,1.444622793,5.778491172,,
119,MATTHEW.BENNING,Matthew Benning,20,13.51666667,4.438964241,8.877928481,17.75585696,4.438964241,0,31.07274968,17.75585696,4.438964241,53.26757089,22.1948212,13.31689272,8.877928481,NSH,D
649,MATTHEW.BENNING,Matthew Benning,21,326.4,6.617647059,2.205882353,11.76470588,3.676,0.919,5.699,3.86,1.84,21.69117647,12.86764706,1.654411765,3.676470588,,
225,MATTHEW.HIGHMORE,Matthew Highmore,19,111.28,5.39,3.23,8.63,22.64,5.39,16.17,9.17,1.62,2.7,1.617541337,1.078360891,0,CHI,F
650,MATTHEW.HIGHMORE,Matthew Highmore,21,133.28,5.40202576,3.151181693,13.95523321,13.505,3.601,7.653,4.952,0.9,1.800675253,0.450168813,0.900337627,0.450168813,,
341,MATTHEW.PECA,Matthew Peca,18,79.13,6.82,12.89,25.78,23.51,11.37,19.71,12.89,5.31,,,,,MTL,C
454,MATTHEW.PECA,Matthew Peca,19,9.25,6.49,0,6.49,25.95,6.49,19.46,12.97,6.49,0,0,0,0,MTL,F
603,MATTHEW.PECA,Matthew Peca,19,42.38,12.74,9.91,22.65,15.57,5.66,5.66,4.25,1.42,0,0,0,0,OTT,F
651,MATTHEW.PECA,Matthew Peca,21,10.18,5.891980362,17.67594109,23.56792145,17.676,17.676,11.784,11.784,0,0,0,0,0,,
