,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
0,5EBASTIAN.AHO,5ebastian Aho,21,223.55,5.1,5.64,14.49,5.636,1.879,6.978,6.442,3.22,24.69246254,17.98255424,2.415566987,3.757548647,,
1,A.J..GREER,A.J. Greer,21,30.1,5.98,9.97,15.95,15.947,9.967,5.98,3.987,3.99,0,0,0,0,,
278,AARON.EKBLAD,Aaron Ekblad,18,175.7,10.24,5.12,18.1,6.15,0.68,22.88,8.2,7.85,45.07683552,19.12350598,10.9277177,7.512805919,FLA,D
352,AARON.EKBLAD,Aaron Ekblad,19,381.46,11.48,7.24,18.72,8.02,4.09,19.5,8.34,5.51,21.55,11.63949038,2.359356158,3.932260263,FLA,D
2,AARON.EKBLAD,Aaron Ekblad,21,443.5,12.31,7.17,24.62,5.682,2.57,8.253,6.629,2.03,22.86358512,11.22886133,3.65276212,3.111612176,,
33,AARON.NESS,Aaron Ness,19,116.72,5.14,3.6,8.74,9.25,2.57,15.94,5.65,8.74,15.42,9.766963674,1.542152159,1.542152159,ARI,D
3,ADAM.BECKMAN,Adam Beckman,21,10.78,16.69,16.69,33.38,16.692,16.692,0,0,5.56,0,0,0,0,,
203,ADAM.BOQVIST,Adam Boqvist,19,124.12,8.22,6.77,14.99,7.73,1.93,19.34,11.12,3.38,24.65,14.01869159,5.317434741,6.284241057,CHI,D
4,ADAM.BOQVIST,Adam Boqvist,21,240.77,7.23,4.73,16.2,7.227,3.987,6.23,4.236,3.74,23.92357746,16.94586737,2.492039319,4.236466842,,
5,ADAM.BROOKS,Adam Brooks,21,72.37,1.66,10.78,14.09,11.608,6.633,7.462,7.462,0,1.658222018,0.829111009,0,0,,
129,ADAM.CLENDENING,Adam Clendening,18,35.46666667,20.3,3.4,30.5,1.69,1.69,37.22,16.92,11.84,,,,,CBJ,D
555,ADAM.ERNE,Adam Erne,18,87.08,14.47,4.82,22.74,17.23,7.58,15.85,9.65,0.69,,,,,T.b,LW
288,ADAM.ERNE,Adam Erne,19,66.75,8.99,2.7,11.68,16.18,8.09,5.39,3.6,1.8,1.8,0.898876404,0,0,DET,F
54,ADAM.ERNE,Adam Erne,20,10.68333333,11.2324493,0,16.84867395,22.4648986,5.616224651,0,0,0,0,0,0,0,DET,L
6,ADAM.ERNE,Adam Erne,21,322.45,7.44,5.4,16,17.305,5.768,5.954,3.535,1.86,1.116452163,0.372150721,0.558226082,0,,
573,ADAM.FOX,Adam Fox,19,380.81,8.82,8.98,17.8,7.09,3.31,25.52,15.28,4.73,16.23,9.138415483,3.151177753,2.836059977,NYR,D
145,ADAM.FOX,Adam Fox,20,16.98333333,0,14.13150147,17.66437684,3.532875369,0,24.73012758,14.13150147,3.532875369,3.532875369,3.532875369,0,0,NYR,D
7,ADAM.FOX,Adam Fox,21,591.3,7.41,9.23,23.14,7.813,3.856,11.568,8.422,1.12,19.07661086,10.65449011,3.551496702,3.348554033,,
586,ADAM.GAUDETTE,Adam Gaudette,18,51.95,9.24,8.08,21.94,19.63,5.77,12.7,4.62,2.31,,,,,VAN,C
795,ADAM.GAUDETTE,Adam Gaudette,19,223.31,9.14,7.79,16.93,16.12,8.33,13.97,8.33,3.76,0.81,0.268684788,0,0.537369576,VAN,F
218,ADAM.GAUDETTE,Adam Gaudette,20,7.816666667,38.37953092,7.675906183,53.73134328,46.0554371,23.02771855,15.35181237,15.35181237,7.675906183,0,0,0,0,VAN,C
8,ADAM.GAUDETTE,Adam Gaudette,21,202.52,9.48,5.63,18.67,18.369,6.814,6.814,5.333,2.07,2.370175294,0.888815735,0.888815735,0,,
0,ADAM.HENRIQUE,Adam Henrique,18,124.01,4.35,9.19,16.45,11.13,5.81,11.13,3.39,3.39,,,,,ANA,C
0,ADAM.HENRIQUE,Adam Henrique,19,255.54,6.81,8.92,15.73,13.62,6.34,11.97,4.93,1.64,2.11,0.939187603,0.469593801,0.234796901,ANA,F
272,ADAM.HENRIQUE,Adam Henrique,20,16.03333,0,7.48440904,7.48440904,7.48440904,0,11.22661356,3.74220452,0,3.74220452,0,3.74220452,0,ANA,C
9,ADAM.HENRIQUE,Adam Henrique,21,252.65,8.31,7.6,20.19,14.961,8.549,5.225,3.562,0.95,3.32475757,0.474965367,1.899861468,0,,
645,ADAM.JOHNSON,Adam Johnson,19,8.07,7.43,14.87,22.3,0,0,44.61,14.87,0,0,0,0,0,PIT,F
249,ADAM.LARSSON,Adam Larsson,18,792.5166667,10.14,3.79,13.93,5.224,0.757,23.02,8.71,7.19,32.0245631,20.59262686,2.952619293,8.025067822,EDM,D
321,ADAM.LARSSON,Adam Larsson,19,369.98,8.11,3.08,11.19,8.59,1.62,19.62,6.49,3.41,25.78,13.46018704,2.432563922,4.702956917,EDM,D
72,ADAM.LARSSON,Adam Larsson,20,12.86666667,27.9792746,4.663212434,37.30569947,32.64248704,0,79.27461138,18.65284974,13.9896373,69.94818651,51.29533677,4.663212434,13.9896373,EDM,D
10,ADAM.LARSSON,Adam Larsson,21,539.62,8.78,4.78,17.9,5.337,1.668,9.118,6.004,1.89,24.68418939,14.23232542,2.334990889,4.33641165,,
627,ADAM.LOWRY,Adam Lowry,18,143.03,11.33,9.65,28.53,15.94,7.97,13.84,6.29,2.52,,,,,WPG,C
852,ADAM.LOWRY,Adam Lowry,19,204.98,9.37,9.07,18.44,17.56,10.54,15.22,8.2,2.93,1.46,0,0.878134452,0,WPG,F
308,ADAM.LOWRY,Adam Lowry,20,10.6,11.32075472,11.32075472,33.96226415,11.32075472,0,16.98113208,11.32075472,0,0,0,0,0,WPG,C
11,ADAM.LOWRY,Adam Lowry,21,390.23,5.84,8.46,18.45,14.145,7.073,8.303,7.226,2,3.228837448,1.076279149,1.383787478,0.461262493,,
437,ADAM.MCQUAID,Adam McQuaid,18,111.32,7.01,3.23,11.86,5.39,0,14.01,4.31,5.93,44.19690981,29.10528207,3.23392023,10.24074739,NYR,D
410,ADAM.PELECH,Adam Pelech,18,157,7.64,3.44,12.99,7.26,2.29,24.46,9.17,8.03,64.20382166,42.03821656,6.878980892,16.05095541,NYI,D
526,ADAM.PELECH,Adam Pelech,19,224.49,8.82,5.35,14.17,7.75,2.41,17.37,8.55,4.81,24.86,16.03634906,2.405452359,6.949084592,NYI,D
127,ADAM.PELECH,Adam Pelech,20,12.93333333,23.19587629,13.91752578,41.75257733,13.91752578,4.639175259,13.91752578,4.639175259,23.19587629,41.75257733,27.83505155,9.278350518,9.278350518,NYI,D
12,ADAM.PELECH,Adam Pelech,21,625.73,8.73,4.99,18.12,8.438,2.781,8.822,6.041,1.92,23.01299808,13.99957383,2.109524824,3.164287236,,
13,ADAM.RUZICKA,Adam Ruzicka,21,113.23,8.48,5.83,19.08,15.896,6.359,6.888,6.888,0,0.529879305,0,0,0,,
293,ADRIAN.KEMPE,Adrian Kempe,18,134.25,8.49,9.83,15.64,19.665,11.62,9.83,6.7,1.34,,,,,L.A,C
380,ADRIAN.KEMPE,Adrian Kempe,19,171.08,14.03,7.72,21.74,20.69,12.27,12.27,5.96,4.56,1.4,0.350713117,0.350713117,0.350713117,L.A,F
14,ADRIAN.KEMPE,Adrian Kempe,21,428.78,14.97,10.21,29.53,23.648,14.973,10.075,6.717,2.38,4.477785984,1.819100556,1.679169744,0.419792436,,
176,ALAN.QUINE,Alan Quine,19,11.38,10.54,5.27,15.82,5.27,0,10.54,10.54,0,0,0,0,0,CGY,F
303,ALEC.MARTINEZ,Alec Martinez,18,212.82,9.59,3.95,9.59,5.92,1.41,18.04,7.61,8.74,21.42655765,16.06991824,0.56385678,6.202424584,L.A,D
381,ALEC.MARTINEZ,Alec Martinez,19,101.41,8.87,2.96,11.83,2.96,1.18,20.12,8.87,3.55,18.34,11.24149492,1.774972882,2.958288137,L.A,D
824,ALEC.MARTINEZ,Alec Martinez,19,142.23,8.86,5.91,14.76,3.8,1.27,12.66,8.86,2.95,19.4,10.12444632,2.53111158,3.37481544,VGK,D
254,ALEC.MARTINEZ,Alec Martinez,20,22.566667,29.24667608,5.317577469,34.56425355,2.658788735,2.658788735,15.95273241,13.29394367,2.658788735,15.95273241,7.976366204,2.658788735,2.658788735,VGK,D
15,ALEC.MARTINEZ,Alec Martinez,21,223.67,9.12,4.56,16.9,2.683,0.268,7.243,4.292,1.88,20.6557377,13.14456036,1.341281669,2.950819672,,
16,ALEC.REGULA,Alec Regula,21,44.33,2.71,1.35,8.12,9.474,5.414,5.414,5.414,0,36.54135338,20.30075188,6.766917293,6.766917293,,
270,ALEKSANDER.BARKOV,Aleksander Barkov,18,152.08,11.84,12.23,28.01,22.88,15.78,14.6,8.29,4.34,,,,,FLA,C
360,ALEKSANDER.BARKOV,Aleksander Barkov,19,294.96,9.76,12.61,22.38,21.77,15.66,15.05,9.97,2.24,1.02,0,0.610252238,0,FLA,F
17,ALEKSANDER.BARKOV,Aleksander Barkov,21,363.57,13.04,15.68,38.78,19.474,15.348,9.407,7.922,0.99,2.805537728,0.495094893,1.320253049,0.165031631,,
18,ALEKSI.HEPONIEMI,Aleksi Heponiemi,21,10.73,11.18,22.36,33.54,11.18,11.18,5.59,5.59,0,0,0,0,0,,
361,ALEKSI.SAARELA,Aleksi Saarela,19,24.73,9.7,9.7,19.41,24.26,12.13,14.56,12.13,4.85,0,0,0,0,FLA,F
20,ALEX.BARRÉ-BOULET,Alex Barré-Boulet,21,22.98,5.22,10.44,28.72,18.274,7.832,7.832,5.221,2.61,0,0,0,0,,
21,ALEX.BELZILE,Alex Belzile,21,36.37,9.9,9.9,23.1,18.148,11.549,3.3,1.65,0,0,0,0,0,,
594,ALEX.BIEGA,Alex Biega,18,21.18,17,2.83,22.66,28.33,11.33,28.33,14.16,5.67,,,,,VAN,D
289,ALEX.BIEGA,Alex Biega,19,128.72,12.59,4.2,16.78,8.39,0.93,19.58,10.25,7.46,22.84,15.38222498,0.93225606,5.593536358,DET,D
22,ALEX.BIEGA,Alex Biega,21,12.35,4.86,0,4.86,9.717,0,4.858,0,9.72,9.71659919,9.71659919,0,4.858299595,,
263,ALEX.CHIASSON,Alex Chiasson,18,403.8833333,8.02,5.2,13.22,11.736,3.863,11.74,5.5,2.67,,,,,EDM,RW
322,ALEX.CHIASSON,Alex Chiasson,19,346.82,7.61,7.09,14.7,12.97,5.36,11.42,4.5,1.73,0.52,0.173000404,0,0,EDM,F
73,ALEX.CHIASSON,Alex Chiasson,20,6.983333333,17.18377088,8.591885442,42.95942721,51.55131265,0,77.32696898,42.95942721,34.36754177,17.18377088,8.591885442,8.591885442,0,EDM,R
23,ALEX.CHIASSON,Alex Chiasson,21,200.02,7.8,5.1,15.3,12.599,5.4,6.599,2.7,0.6,1.799850012,1.49987501,0,0.299975002,,
164,ALEX.DEBRINCAT,Alex DeBrincat,18,346.68,15.75,9.87,31.67,20.42,13.85,19.04,11.77,4.85,,,,,CHI,RW
204,ALEX.DEBRINCAT,Alex Debrincat,19,267.02,17.98,9.21,27.19,23.82,13.93,19.55,12.81,4.27,1.12,0.224702269,0.674106808,0,CHI,F
24,ALEX.DEBRINCAT,Alex DeBrincat,21,394.4,12.32,7.61,26.47,22.363,13.692,7.454,6.542,0.61,0.912778905,0.304259635,0.60851927,0,,
693,ALEX.FORMENTON,Alex Formenton,18,90.45,13.93,3.32,18.57,21.23,11.94,9.29,5.31,2.65,,,,,OTT,RW
25,ALEX.FORMENTON,Alex Formenton,21,333.28,8.64,4.5,16.02,16.743,8.821,4.861,3.601,0.54,2.160324049,0.360054008,0.360054008,0.180027004,,
33,ALEX.GALCHENYUK,Alex Galchenyuk,18,78.35,6.13,8.42,21.44,10.721,6.892,8.42,6.13,4.59,,,,,ARI,C
408,ALEX.GALCHENYUK,Alex Galchenyuk,19,94.38,10.17,8.9,19.07,12.71,8.9,10.17,5.72,4.45,0.64,0.635727908,0,0.635727908,MIN,F
646,ALEX.GALCHENYUK,Alex Galchenyuk,19,117.97,9.66,8.65,18.31,14.24,7.12,16.78,9.15,4.58,0,0,0,0,PIT,F
290,ALEX.GALCHENYUK,Alex Galchenyuk,20,9.05,26.51933702,13.25966851,39.77900552,19.88950276,6.629834254,19.88950276,6.629834254,0,0,0,0,0,OTT,L
26,ALEX.GALCHENYUK,Alex Galchenyuk,21,164.72,8.38,6.56,19.67,13.113,5.828,5.464,4.371,1.09,1.457047455,0.364261864,0,0,,
39,ALEX.GOLIGOSKI,Alex Goligoski,18,140.28,9.84,5.13,18.39,7.699,3.422,22.67,11.12,7.27,49.6150556,31.22326775,2.566295979,8.126603935,ARI,D
34,ALEX.GOLIGOSKI,Alex Goligoski,19,391.59,8.58,3.68,12.26,4.9,1.38,19.92,8.12,5.67,24.06,15.47536965,2.604765188,5.515973339,ARI,D
27,ALEX.GOLIGOSKI,Alex Goligoski,21,507.08,7.81,4.61,16.68,5.798,1.42,7.928,5.798,1.66,20.47000822,14.08052588,1.893179951,4.377978636,,
311,ALEX.IAFALLO,Alex Iafallo,18,169.21,8.51,5.67,13.47,20.566,9.219,14.18,6.74,2.48,,,,,L.A,RW
382,ALEX.IAFALLO,Alex Iafallo,19,189.37,8.24,4.75,12.99,16.79,8.55,14.89,9.19,1.9,3.8,1.584200243,1.267360194,0.633680097,L.A,F
28,ALEX.IAFALLO,Alex Iafallo,21,400.03,11.55,8.25,24,16.649,9.149,8.699,6.299,0.45,2.399800017,0.149987501,1.199900008,0,,
553,ALEX.KILLORN,Alex Killorn,18,141.86,19.46,8.46,30.45,17.76,5.5,14.38,7.61,2.54,,,,,T.b,LW
737,ALEX.KILLORN,Alex Killorn,19,309.13,10.29,11.45,21.74,20.19,8.54,15.92,9.9,2.33,5.24,1.940931,2.1350241,0.9704655,T.B,F
29,ALEX.KILLORN,Alex Killorn,21,451.17,8.38,7.18,22.21,16.092,7.846,9.575,6.915,1.2,2.526782416,1.063908386,0.531954193,0.398965645,,
19,ALEX.NEDELJKOVIC,Alex Nedeljkovic,21,,,,,,,1,0.25,1.25,0,0,0,0,,
30,ALEX.NEWHOOK,Alex Newhook,21,414.03,11.59,6.81,21.74,15.796,9.999,5.652,4.203,1.01,2.318653893,0.724579341,0.434747605,0,,
205,ALEX.NYLANDER,Alex Nylander,19,204.92,9.96,9.66,19.62,21.08,12.88,13.47,10.83,3.81,0.29,0,0.292797189,0,CHI,F
659,ALEX.OVECHKIN,Alex Ovechkin,18,236.46,18.27,7.1,29.43,20.05,13.7,14.72,9.39,3.55,,,,,WSH,LW
881,ALEX.OVECHKIN,Alex Ovechkin,19,326.17,18.21,7.54,25.75,22.44,16,11.04,6.44,2.21,0.55,0.367906307,0.183953153,0,WSH,F
236,ALEX.OVECHKIN,Alex Ovechkin,20,16.03333333,14.96881497,7.484407486,26.1954262,11.22661123,7.484407486,3.742203743,0,3.742203743,0,0,0,0,WSH,L
31,ALEX.OVECHKIN,Alex Ovechkin,21,485.2,16.2,5.94,28.07,12.861,8.409,7.172,5.317,0.74,0.865622424,0.370981039,0.123660346,0.123660346,,
522,ALEX.PIETRANGELO,Alex Pietrangelo,18,151.97,11.05,6.71,22.5,8.69,1.58,28.03,12.24,9.87,75.01480555,47.77258669,7.896295321,15.00296111,STL,D
709,ALEX.PIETRANGELO,Alex Pietrangelo,19,439.11,13.8,6.56,20.36,11.2,4.65,24.05,12.57,4.24,22.27,12.16096195,2.322880372,4.919040787,STL,D
255,ALEX.PIETRANGELO,Alex Pietrangelo,20,24.3333,9.86302721,7.397270407,29.58908163,7.397270407,2.465756802,29.58908163,14.79454081,4.931513605,24.65756802,17.26029762,0,2.465756802,VGK,D
32,ALEX.PIETRANGELO,Alex Pietrangelo,21,668.12,12.39,6.65,24.79,10.058,5.209,12.752,8.621,1.8,21.28370794,11.85421708,2.963554269,4.400429067,,
213,ALEX.RADULOV,Alex Radulov,18,82.35,16.03,13.84,39.34,21.13,11.66,14.57,6.56,4.37,,,,,DAL,RW
33,ALEX.STEEVES,Alex Steeves,21,7.28,8.24,0,16.48,8.238,0,24.714,8.238,0,8.23798627,0,0,0,,
626,ALEX.TUCH,Alex Tuch,18,55.23,10.86,6.52,21.73,21.73,14.12,24.99,14.12,4.35,,,,,VGK,RW
825,ALEX.TUCH,Alex Tuch,19,129.34,16.7,3.71,20.41,31.08,17.16,15.31,8.35,1.86,2.78,0,1.855574455,0,VGK,F
256,ALEX.TUCH,Alex Tuch,20,16.83333,21.38614285,3.564357141,32.07921427,10.69307142,7.128714283,7.128714283,3.564357141,0,3.564357141,0,3.564357141,0,VGK,R
34,ALEX.TUCH,Alex Tuch,21,148.32,13.75,5.66,23.87,15.777,11.327,6.068,4.45,2.02,2.427239016,1.213619508,1.213619508,0.809079672,,
35,ALEX.TURCOTTE,Alex Turcotte,21,18.37,16.33,6.53,26.13,9.8,3.267,6.534,3.267,3.27,0,0,0,0,,
36,ALEX.VLASIC,Alex Vlasic,21,65.97,7.28,4.55,14.55,9.096,2.729,10.005,10.005,2.73,28.19605862,20.01010611,2.728650834,10.00505306,,
37,ALEX.WENNBERG,Alex Wennberg,21,401.6,5.527888446,10.60756972,21.06573705,15.687,11.504,7.918,7.022,0.45,1.643426295,0.448207171,0.448207171,0,,
200,ALEXANDER.BARABANOV,Alexander Barabanov,20,5.45,0,0,0,22.01834862,0,11.00917431,0,0,0,0,0,0,TOR,L
38,ALEXANDER.BARABANOV,Alexander Barabanov,21,310.18,5.416151738,9.284831551,17.02219118,18.763,9.478,9.865,8.511,2.32,1.547471925,0,0.386867981,0,,
590,ALEXANDER.EDLER,Alexander Edler,18,150.33,6.79,2.39,11.97,7.58,2,31.13,9.98,7.18,57.07443624,41.90780283,5.188585113,15.16663341,VAN,D
796,ALEXANDER.EDLER,Alexander Edler,19,393.56,9.6,6.86,16.47,6.1,0.61,22.72,7.62,5.49,24.24,16.61754243,1.676999695,6.098180709,VAN,D
219,ALEXANDER.EDLER,Alexander Edler,20,19.38333333,43.33619949,12.38177128,65.00429924,15.4772141,3.095442821,40.24075667,27.85898539,3.095442821,34.04987103,24.76354257,3.095442821,6.190885642,VAN,D
39,ALEXANDER.EDLER,Alexander Edler,21,256.42,9.125771855,4.445888853,17.31556711,3.042,0.936,8.19,5.616,1.87,21.05947351,11.69970751,2.105947351,4.211894703,,
40,ALEXANDER.HOLTZ,Alexander Holtz,21,26.33,9.113924051,4.556962025,13.67088608,13.671,6.835,2.278,0,0,0,0,0,0,,
183,ALEXANDER.KERFOOT,Alexander Kerfoot,18,137.6,11.34,13.95,33.58,20.06,12.21,14.826,7.413,4.36,,,,,COL,LW
766,ALEXANDER.KERFOOT,Alexander Kerfoot,19,276.43,4.99,9.33,14.33,16.93,6.73,15.41,8.46,4.78,3.26,1.302318851,0.868212567,1.302318851,TOR,F
201,ALEXANDER.KERFOOT,Alexander Kerfoot,20,11.25,0,10.66666667,10.66666667,16,16,10.66666667,5.333333333,0,0,0,0,0,TOR,C
41,ALEXANDER.KERFOOT,Alexander Kerfoot,21,461.63,6.888584013,8.318290129,20.66575204,18.066,10.398,7.928,5.849,1.82,1.559679399,0.649866416,0.259946567,0.259946567,,
252,ALEXANDER.PETROVIC,Alexander Petrovic,18,202.9966667,14.18905992,2.957576807,19.79980147,7.688073367,0.04810276,18.32627383,7.090995747,7.09770259,38.67428572,22.49142858,3.565714286,7.405714287,EDM-FLA,D
262,ALEXANDER.RADULOV,Alexander Radulov,19,245.23,10.77,8.81,19.57,18.6,9.05,10.77,5.38,3.91,3.43,1.468009624,1.223341353,0.244668271,DAL,F
42,ALEXANDER.RADULOV,Alexander Radulov,21,317.35,7.562628013,7.184496613,18.15030723,11.911,5.483,6.995,3.781,1.51,2.268788404,1.323459902,0.756262801,0.1890657,,
91,ALEXANDER.ROMANOV,Alexander Romanov,20,15.35,23.45276873,3.908794788,35.17915309,7.817589577,3.908794788,23.45276873,7.817589577,0,35.17915309,15.63517915,3.908794788,0,MTL,D
43,ALEXANDER.ROMANOV,Alexander Romanov,21,369.65,8.765048018,4.382524009,15.25767618,3.571,1.623,5.356,4.058,3.08,25.97051265,14.77072907,3.570945489,4.382524009,,
533,ALEXANDER.STEEN,Alexander Steen,18,104.17,12.67,6.91,23.04,21.31,8.06,14.98,8.06,1.15,,,,,STL,RW
710,ALEXANDER.STEEN,Alexander Steen,19,190.6,7.87,5.35,13.22,18.26,6.3,14.48,7.24,1.89,3.78,1.573976915,1.573976915,0.944386149,STL,F
678,ALEXANDER.TRUE,Alexander True,19,46.47,7.75,6.46,14.2,12.91,3.87,16.79,5.16,6.46,2.58,0,1.291155584,0,S.J,F
44,ALEXANDER.TRUE,Alexander True,21,24.05,4.98960499,4.98960499,14.96881497,19.958,4.99,7.484,7.484,0,0,0,0,0,,
738,ALEXANDER.VOLKOV,Alexander Volkov,19,10.72,11.2,16.8,27.99,16.8,16.8,5.6,0,5.6,5.6,0,0,0,T.B,F
121,ALEXANDER.WENNBERG,Alexander Wennberg,18,350.8,4.8,12.5,25.3,14.37,7.53,10.78,5.82,1.54,,,,,CBJ,C
144,ALEXANDER.WENNBERG,Alexander Wennberg,19,356.28,5.56,11.11,16.67,16.34,7.92,12.46,7.92,1.85,4.88,2.020882452,0.842034355,0.842034355,CBJ,F
45,ALEXANDRE.CARRIER,Alexandre Carrier,21,464.33,5.556353195,4.651830581,13.95549174,7.365,1.809,6.59,4.91,1.16,20.15793252,11.24192391,2.713567839,4.393395549,,
167,ALEXANDRE.FORTIN,Alexandre Fortin,18,149.96,9.6,6.4,18.4,23.61,16.8,11.6,6.4,2.8,,,,,CHI,RW
145,ALEXANDRE.TEXIER,Alexandre Texier,19,257.35,8.39,8.63,17.02,15.85,7.23,13.52,7.23,3.26,1.63,0.466291043,0.699436565,0,CBJ,F
36,ALEXANDRE.TEXIER,Alexandre Texier,20,12.85,28.0155642,23.3463035,60.70038911,37.3540856,23.3463035,23.3463035,14.0077821,4.6692607,9.338521401,4.6692607,0,0,CBJ,C
46,ALEXANDRE.TEXIER,Alexandre Texier,21,140.72,10.23332939,7.248608315,21.31943622,14.497,8.528,5.117,4.69,0,1.279166173,0.426388724,0.852777449,0.426388724,,
47,ALEXEI.TOROPCHENKO,Alexei Toropchenko,21,82.85,8.690404345,2.896801448,15.2082076,22.45,9.415,6.518,5.069,0.72,1.448400724,0.724200362,0.724200362,0.724200362,,
146,ALEXIS.LAFRENIÈRE,Alexis Lafrenière,20,12.91666667,4.645161289,9.290322578,23.22580645,32.51612902,18.58064516,32.51612902,27.87096773,0,0,0,0,0,NYR,L
48,ALEXIS.LAFRENIÈRE,Alexis Lafrenière,21,434.67,8.144171779,6.211656442,19.04907976,16.702,8.696,8.282,6.212,0.97,1.656441718,0.27607362,0.414110429,0.13803681,,
49,ALIAKSEI.PROTAS,Aliaksei Protas,21,138.55,6.928906532,7.795019848,19.05449296,12.126,5.197,7.362,5.197,0.43,1.732226633,1.299169975,0,0.433056658,,
71,ANDERS.BJORK,Anders Bjork,18,103.63,10.42,8.11,20.84,16.21,11,12.74,6.95,1.16,,,,,BOS,RW
56,ANDERS.BJORK,Anders Bjork,19,197.39,7.3,8.82,16.11,24.62,11.55,13.98,8.82,2.13,1.82,0.911900299,0.911900299,0.303966766,BOS,F
50,ANDERS.BJORK,Anders Bjork,21,140.3,5.1318603,7.270135424,14.54027085,11.547,7.27,6.415,5.56,1.28,1.7106201,0.427655025,0.427655025,0,,
419,ANDERS.LEE,Anders Lee,18,152.23,7.88,8.28,19.31,24.83,9.07,10.64,6.31,2.36,,,,,NYI,LW
527,ANDERS.LEE,Anders Lee,19,382.2,10.68,7.22,17.9,16.17,7.38,12.4,6.12,2.51,1.41,0.313971743,0.784929356,0,NYI,F
128,ANDERS.LEE,Anders Lee,20,13.28333333,22.5846926,0,27.10163112,18.06775408,9.033877041,9.033877041,4.516938521,0,4.516938521,0,4.516938521,0,NYI,L
51,ANDERS.LEE,Anders Lee,21,472.58,7.236818903,4.316698995,15.87021689,12.823,6.856,5.967,5.078,1.4,1.015693881,0.126961735,0.380885205,0,,
662,ANDRE.BURAKOVSKY,Andre Burakovsky,18,168.29,11.41,10.7,29.24,26.74,18.9,18.9,13.9,2.5,,,,,WSH,LW
232,ANDRE.BURAKOVSKY,Andre Burakovsky,19,207.48,9.25,9.83,19.09,15.33,11.57,14.46,9.83,4.34,1.16,0.578368999,0.2891845,0,COL,F
52,ANDRE.BURAKOVSKY,Andre Burakovsky,21,568.38,14.1453831,12.5619447,33.14664399,17.84,11.823,6.967,6.123,1.27,1.372313286,0.316687681,0.738937923,0.10556256,,
219,ANDREAS.ATHANASIOU,Andreas Athanasiou,18,69.91,13.73,6.01,23.17,26.606,20.598,8.58,4.29,4.29,,,,,DET,C
290,ANDREAS.ATHANASIOU,Andreas Athanasiou,19,82.64,9.44,3.63,13.07,18.15,9.44,15.25,8.71,3.63,2.18,0.726040658,0.726040658,0.726040658,DET,F
323,ANDREAS.ATHANASIOU,Andreas Athanasiou,19,106.38,8.46,3.95,12.41,16.92,9.59,11.28,5.64,4.51,1.69,1.128031585,0,0,EDM,F
53,ANDREAS.ATHANASIOU,Andreas Athanasiou,21,155.42,14.28418231,6.563002681,25.86595174,15.442,10.424,8.493,5.791,1.16,3.08847185,1.158176944,1.158176944,0,,
581,ANDREAS.ENGLUND,Andreas Englund,19,36.47,3.29,4.94,8.23,13.16,3.29,18.1,8.23,4.94,32.91,6.580751302,8.225939128,4.935563477,OTT,D
575,ANDREAS.JOHNSSON,Andreas Johnsson,18,146.02,7.81,7.4,20.96,16.03,6.99,10.68,4.93,2.876,,,,,TOR,LW
767,ANDREAS.JOHNSSON,Andreas Johnsson,19,187.18,8.98,6.09,15.07,14.42,8.01,9.94,6.73,3.53,0.64,0,0.641094134,0,TOR,F
54,ANDREAS.JOHNSSON,Andreas Johnsson,21,336.67,6.059405941,7.306930693,18.17821782,17.287,9.624,7.842,6.772,0.89,2.138613861,0.356435644,0.534653465,0,,
163,ANDREAS.MARTINSEN,Andreas Martinsen,18,137.14,8.75,5.69,17.06,17.5,5.69,13.56,5.25,6.13,,,,,CHI,LW
118,ANDREI.SVECHNIKOV,Andrei Svechnikov,18,146.44,18.44,11.47,37.28,15.57,8.6,18.85,10.65,4.1,,,,,CAR,RW
118,ANDREI.SVECHNIKOV,Andrei Svechnikov,19,400.19,14.09,10.5,24.59,18.89,12.74,15.89,9.9,3,0.9,0.299857568,0.299857568,0.149928784,CAR,F
18,ANDREI.SVECHNIKOV,Andrei Svechnikov,20,14.33333333,4.186046513,16.74418605,25.11627908,8.372093025,8.372093025,4.186046513,0,8.372093025,0,0,0,0,CAR,R
56,ANDREI.SVECHNIKOV,Andrei Svechnikov,21,465.07,14.70756881,11.35321101,34.31766055,17.933,10.708,8.128,5.032,1.81,1.548165138,0.774082569,0.387041284,0.129013761,,
55,ANDREI.VASILEVSKIY,Andrei Vasilevskiy,21,,,,,,,0.269,0,0.27,0,0,0,0,,
263,ANDREJ.SEKERA,Andrej Sekera,19,282.55,9.13,4.03,13.17,2.34,0.42,15.93,5.95,8.28,21.66,11.0422934,2.335869758,4.884091311,DAL,D
57,ANDREJ.SEKERA,Andrej Sekera,21,122.53,6.365614799,2.448313384,11.26224157,4.407,1.469,8.814,4.897,2.94,23.50380849,12.24156692,6.365614799,3.917301414,,
16,ANDREJ.SUSTR,Andrej Sustr,18,24.14,12.43,2.49,14.91,4.97,0,14.91,4.97,4.97,,,,,ANA,D
58,ANDREJ.SUSTR,Andrej Sustr,21,153.8,5.851755526,1.56046814,8.582574772,3.511,1.951,3.121,2.341,3.9,18.72561768,11.31339402,0.390117035,4.681404421,,
