"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Blackhawks","CHI","10-11",82,3968.98,53.62,54.19,54.11,53.73,52.35,2.52,2.18,31.83,26.91,42.9,36.38,57.06,49.14,2.35,2.14,0.34,4.93,6.52,7.93,0.21,7.91,91.9
"Avalanche","COL","10-11",82,3849.7,45.82,47.19,46.57,46.15,49.16,2.26,2.68,28.03,31.37,38.06,43.66,49.99,58.32,2.24,2.32,-0.41,-3.34,-5.6,-8.33,-0.08,8.08,91.47
"Stars","DAL","10-11",82,3813.07,50.55,46.54,47.69,47.93,47.55,2.25,2.2,25.81,29.65,37.68,41.33,50.92,55.32,1.99,2.19,0.05,-3.84,-3.65,-4.39,-0.21,8.72,92.57
"Red Wings","DET","10-11",82,3854.2,50.27,51.73,52.6,53.09,51.37,2.58,2.55,32.44,30.27,45.72,41.2,59.21,52.32,2.4,2.27,0.03,2.17,4.52,6.89,0.13,7.95,91.57
"Oilers","EDM","10-11",82,3783.95,42.11,45.09,44.69,45.2,43.43,1.96,2.7,25.48,31.03,35.35,43.74,48.91,59.29,2.13,2.77,-0.74,-5.55,-8.39,-10.38,-0.64,7.71,91.3
"Panthers","FLA","10-11",82,3912.18,46.43,49.2,49.53,49.86,51.36,2.11,2.44,29.8,30.76,41.31,42.09,55.35,55.66,2.3,2.18,-0.33,-0.96,-0.78,-0.31,0.12,7.1,92.07
"Kings","L.A","10-11",82,3854.7,52.27,50.65,51.37,52,51.89,2.3,2.1,28.08,27.36,40.91,38.73,55.61,51.34,2.17,2.01,0.2,0.72,2.18,4.27,0.16,8.18,92.33
"Wild","MIN","10-11",82,3827.33,45.78,44.27,44.38,44.77,44.73,1.96,2.32,24.83,31.26,34.95,43.79,46.72,57.63,1.81,2.24,-0.36,-6.43,-8.85,-10.91,-0.43,7.89,92.58
"Canadiens","MTL","10-11",82,3778.47,50.32,51.73,52.28,51.84,49.93,2.14,2.11,31.57,29.46,43.97,40.14,59.57,55.33,2.34,2.34,0.03,2.11,3.83,4.24,-0.01,6.78,92.83
"Devils","N.J","10-11",82,3997.7,44.29,51.75,51.92,51.82,51.36,1.75,2.2,27.66,25.79,37.36,34.6,48.67,45.25,1.99,1.88,-0.45,1.87,2.76,3.42,0.11,6.33,91.46
"Predators","NSH","10-11",82,3899.88,54.35,49.34,49.26,50.08,50.89,2.35,1.97,29.01,29.79,39.2,40.37,52.33,52.16,2.25,2.17,0.38,-0.77,-1.18,0.17,0.08,8.09,93.38
"Islanders","NYI","10-11",82,3786.73,43.77,46.53,45.84,45.44,45.67,2.15,2.77,27.7,31.83,38.35,45.31,52.39,62.9,2.4,2.86,-0.61,-4.13,-6.96,-10.51,-0.46,7.78,91.3
"Rangers","NYR","10-11",82,3860.92,51.75,49.79,50.2,49.03,53.47,2.29,2.14,28.91,29.16,40.3,39.99,53.43,55.54,2.86,2.49,0.15,-0.25,0.31,-2.11,0.37,7.92,92.68
"Senators","OTT","10-11",82,3867.18,41.76,49.21,49.03,49.21,48.6,1.92,2.67,28.79,29.71,39.33,40.88,52.63,54.33,2.18,2.31,-0.76,-0.92,-1.55,-1.7,-0.13,6.66,91
"Flyers","PHI","10-11",82,3776.57,55.54,51.73,50.73,50.21,51.14,2.76,2.21,31.79,29.66,42.99,41.76,57.82,57.34,2.59,2.48,0.55,2.12,1.23,0.48,0.12,8.67,92.56
"Penguins","PIT","10-11",82,3713.48,53.45,53.07,52.92,53.38,51.55,2.33,2.03,31.32,27.69,42.88,38.15,58.59,51.16,2.22,2.09,0.3,3.63,4.73,7.43,0.13,7.45,92.66
"Sharks","S.J","10-11",82,3908.6,54.45,54.04,54.4,54.15,56.49,2.36,1.97,32.42,27.58,45.27,37.95,60.74,51.42,2.68,2.07,0.39,4.84,7.32,9.31,0.62,7.27,92.85
"Blues","STL","10-11",82,3890.3,50.45,52.28,52.56,52.35,50.94,2.49,2.44,29.57,26.99,42.1,38,56.23,51.17,2.29,2.2,0.04,2.58,4.1,5.05,0.08,8.41,90.95
"Lightning","T.B","10-11",82,3753.95,50.78,53.99,53.61,52.49,56.08,2.44,2.37,31.53,26.87,43.41,37.57,57.67,52.19,2.45,1.92,0.08,4.66,5.85,5.48,0.53,7.74,91.19
"Maple Leafs","TOR","10-11",82,3812.28,48.7,46.69,46.47,47.04,46.75,2.34,2.47,27.53,31.43,39.07,45.02,55.17,62.11,2.09,2.38,-0.12,-3.91,-5.94,-6.94,-0.29,8.51,92.15
