Player,Pos,Team,Entries,Carries,Carry-in%.entries,Passes,Pass%.entries,Dump-ins,Recovered Dump-ins,Left,Center,Right,Fail,5v5 TOI,Entries/60,Carries/60,Passes/60,Recoveries,Targets,Carry-in,Dump-in,Break-up,Shots off Entries,Passes Allowed,Carry-in%.entry_defense,Break-up%,Pass%.entry_defense,Carry Denial,Pass Denial,Break-up?,Touches,Exits,Possession Exits,Exit%,Possession Exit%,Fail%,Assists,Carry,Pass,Dump,Clear,Fail.exits,Assisted Passes,Assisted Carries,Assisted Turnovers,Icing,Left.exits,Center.exits,Right.exits,5v5 TOI.exits,Touches/60,Exits/60,Possession/60,Fail/60,Assists/60,#,5v5 TOI.forechecking,Applied Pressure,Turnovers Forced,Clears Forced,Pressures/60,Disruptions/60,#.shots,Shots,On Goal,Missed,Chances,Deflection,One-timer,Rebounds,Wrist,Slapshot,Wraparound,Backhand,Passes.shots,A1,A2,A3,Solo Shots,5v5 TOI.shots,Shots/60,Chances/60,Passes/60.shots,A1/60,Contributions/60,PSC/60,Stretch Passes,Home Plate,Low-to-High,Behind Net,High Danger,Home Plate/60,L2H/60,BTN/60,HD/60,One-timer/60
Jordan Eberle,RW,NYI,43,16,37.2%,4,9.3%,27,6,14,4,28,3,144.25,17.89,6.66,1.66,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,41,24,82.0%,48.0%,14.0%,2,13,11,5,12,7,1,1,1,1,9,9,32,144.25,20.8,17.05,9.98,2.91,0.832,7,144.25,26,10,6,10.81,6.66,7,26,18,8,12,2,1,1,16,1,0,5,31,19,7,5,9,144.25,10.81,4.99,12.89,7.9,23.71,18.72,0,3,6,5,8,1.25,2.5,2.08,3.33,2.5
Stephen Gionta,C,NYI,3,1,33.3%,0,0.0%,2,1,0,1,2,0,8.75,20.57,6.86,0,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8.75,6.86,0,6.86,6.86,13.71,13.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tanner Fritz,RW,NYI,10,4,40.0%,0,0.0%,6,3,2,2,6,0,25.6,23.44,9.38,0,7.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,2,77.8%,22.2%,22.2%,1,1,1,1,4,2,1,0,0,0,1,1,7,25.6,21.09,16.41,4.69,4.69,2.344,11,25.6,7,1,4,16.41,11.72,11,2,2,0,0,0,0,0,2,0,0,0,5,3,2,0,1,25.6,4.69,0,11.72,7.03,16.41,11.72,0,0,2,0,0,0,4.69,0,0,0
Josh Bailey,RW,NYI,31,15,48.4%,11,35.5%,16,3,9,6,20,3,145.35,12.8,6.19,4.54,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,19,73.7%,50.0%,23.7%,4,3,16,2,7,9,3,1,0,1,13,2,23,145.35,15.69,11.56,7.84,3.72,1.651,12,145.35,25,13,2,10.32,6.19,12,10,6,4,5,2,2,0,5,0,0,1,37,26,9,2,3,145.35,4.13,2.06,15.27,10.73,19.4,14.86,1,3,12,2,5,1.24,4.95,0.83,2.06,3.72
Mathew Barzal,C,NYI,71,54,76.1%,21,29.6%,17,10,41,19,17,4,143.77,29.63,22.54,8.76,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,49,39,89.1%,70.9%,9.1%,6,26,13,3,7,5,3,3,1,1,19,19,17,143.77,22.95,20.45,16.28,2.09,2.504,13,143.77,20,11,2,8.35,5.43,13,16,9,7,6,0,0,0,13,0,0,3,59,43,13,3,9,143.77,6.68,2.5,24.62,17.95,31.3,24.62,0,7,14,4,11,2.92,5.84,1.67,4.59,7.09
Tom Kuhnhackl,RW,NYI,8,0,0.0%,0,0.0%,8,0,7,0,2,0,39.08,12.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,3,100.0%,37.5%,0.0%,2,1,2,2,3,0,1,1,0,0,2,3,3,39.08,12.28,12.28,4.61,0,3.071,14,39.08,5,2,3,7.68,7.68,14,4,1,3,1,0,1,0,3,0,0,0,3,3,0,0,1,39.08,6.14,1.54,4.61,4.61,10.75,10.75,0,0,2,0,0,0,3.07,0,0,0
Cal Clutterbuck,RW,NYI,21,8,38.1%,1,4.8%,13,3,12,4,11,6,88.8,14.19,5.41,0.68,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28,11,82.4%,32.4%,11.8%,2,6,5,6,11,4,1,1,0,2,5,4,25,88.8,22.97,18.92,7.43,2.7,1.351,15,88.8,17,10,3,11.49,8.78,15,14,8,6,7,2,1,1,8,1,0,1,12,7,4,1,3,88.8,9.46,4.73,8.11,4.73,17.57,14.19,0,0,2,1,1,0,1.35,0.68,0.68,0.68
Andrew Ladd,lW,NYI,26,7,26.9%,6,23.1%,19,5,12,6,9,1,100.8,15.48,4.17,3.57,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29,15,76.3%,39.5%,18.4%,0,6,9,3,11,7,0,0,0,2,24,3,11,100.8,22.62,17.26,8.93,4.17,0.000,16,100.8,19,13,1,11.31,8.33,16,14,8,6,5,1,6,0,7,0,0,0,14,5,8,1,1,100.8,8.33,2.98,8.33,2.98,16.67,11.31,0,1,3,0,1,0.6,1.79,0,0.6,1.19
Matt Martin,LW,NYI,28,4,14.3%,0,0.0%,24,3,12,3,13,0,98.68,17.02,2.43,0,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,17,9,85.0%,45.0%,15.0%,0,4,5,3,5,3,0,0,0,0,15,0,5,98.68,12.16,10.34,5.47,1.82,0.000,17,98.68,23,9,6,13.98,9.12,17,16,10,6,5,1,2,1,11,0,0,1,13,9,3,1,6,98.68,9.73,3.04,7.9,5.47,17.63,15.2,0,1,5,0,1,0.61,3.04,0,0.61,1.22
Anthony Beauvillier,LW,NYI,41,22,53.7%,8,19.5%,19,5,22,6,16,3,119.45,20.59,11.05,4.02,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,24,10,88.9%,37.0%,11.1%,1,1,9,3,11,3,1,0,1,0,19,3,5,119.45,13.56,12.06,5.02,1.51,0.502,18,119.45,25,5,13,12.56,9.04,18,17,11,6,8,1,4,0,10,0,0,2,16,12,3,1,3,119.45,8.54,4.02,8.04,6.03,16.58,14.57,0,0,6,0,0,0,3.01,0,0,1
Luca Sbisa,D,NYI,5,2,40.0%,1,20.0%,3,0,4,1,0,0,40.47,7.41,2.97,1.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,7,76.2%,33.3%,19.0%,1,0,7,1,8,4,1,0,0,1,12,1,8,40.47,31.13,23.72,10.38,5.93,1.483,21,40.47,5,1,1,7.41,2.97,21,6,0,6,1,0,1,0,3,2,0,0,5,2,3,0,1,40.47,8.9,1.48,7.41,2.97,16.31,11.86,1,0,0,0,0,0,0,0,0,0
Scott Mayfield,D,NYI,22,4,18.2%,0,0.0%,18,1,4,2,17,1,136.8,9.65,1.75,0,0.44,188,107,57,24,78,40,56.90%,12.80%,21.30%,-0.771,-0.266,0.738,84,61,17,72.6%,20.2%,22.6%,8,5,12,11,33,19,7,1,5,4,22,7,55,136.8,36.84,26.75,7.46,8.33,3.509,24,136.8,1,0,1,0.44,0.44,24,34,13,21,3,1,3,0,20,8,0,2,12,6,4,2,9,136.8,14.91,1.32,5.26,2.63,20.18,17.54,0,0,1,0,0,0,0.44,0,0,0
Anders Lee,LW,NYI,63,23,36.5%,7,11.1%,40,8,36,8,21,2,152.23,24.83,9.07,2.76,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,27,16,77.1%,45.7%,17.1%,2,8,8,3,8,6,2,0,0,2,22,4,9,152.23,13.79,10.64,6.31,2.36,0.788,27,152.23,29,9,13,11.43,8.67,27,20,9,11,12,3,3,2,12,0,0,0,29,21,6,2,8,152.23,7.88,4.73,11.43,8.28,19.31,16.16,0,3,6,3,6,1.18,2.36,1.18,2.36,1.18
Brock Nelson,C,NYI,54,34,63.0%,12,22.2%,20,8,24,16,21,6,160.55,20.18,12.71,4.48,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,33,22,82.5%,55.0%,17.5%,2,12,10,2,9,7,0,2,0,0,17,8,15,160.55,14.95,12.33,8.22,2.62,0.747,29,160.55,16,6,5,5.98,4.11,29,29,18,11,17,3,3,1,22,0,0,0,33,21,9,3,8,160.55,10.84,6.35,12.33,7.85,23.17,18.69,1,1,10,2,3,0.37,3.74,0.75,1.12,2.24
Ross Johnston,lW,NYI,4,2,50.0%,1,25.0%,2,1,2,0,2,0,8,30,15,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,50.0%,50.0%,50.0%,0,1,0,0,0,1,0,0,0,0,0,0,2,8,15,7.5,7.5,7.5,0.000,32,8,1,1,0,7.5,7.5,32,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,8,0,0,22.5,15,22.5,15,0,0,1,0,0,0,7.5,0,0,0
Leo Komarov,LW,NYI,28,9,32.1%,0,0.0%,19,5,7,3,19,1,118.97,14.12,4.54,0,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,22,9,75.9%,31.0%,20.7%,2,4,5,2,11,6,2,0,0,1,9,6,14,118.97,14.63,11.1,4.54,3.03,1.009,47,118.97,19,3,7,9.58,5.04,47,10,6,4,4,4,0,1,5,0,0,0,14,8,4,2,2,118.97,5.04,2.02,7.06,4.03,12.1,9.08,1,1,6,0,1,0.5,3.03,0,0.5,0
