Player,Pos,Team,Entries,Carries,Carry-in%.entries,Passes,Pass%.entries,Dump-ins,Recovered Dump-ins,Left,Center,Right,Fail,5v5 TOI,Entries/60,Carries/60,Passes/60,Recoveries,Targets,Carry-in,Dump-in,Break-up,Shots off Entries,Passes Allowed,Carry-in%.entry_defense,Break-up%,Pass%.entry_defense,Carry Denial,Pass Denial,Break-up?,Touches,Exits,Possession Exits,Exit%,Possession Exit%,Fail%,Assists,Carry,Pass,Dump,Clear,Fail.exits,Assisted Passes,Assisted Carries,Assisted Turnovers,Icing,Left.exits,Center.exits,Right.exits,5v5 TOI.exits,Touches/60,Exits/60,Possession/60,Fail/60,Assists/60,#,5v5 TOI.forechecking,Applied Pressure,Turnovers Forced,Clears Forced,Pressures/60,Disruptions/60,#.shots,Shots,On Goal,Missed,Chances,Deflection,One-timer,Rebounds,Wrist,Slapshot,Wraparound,Backhand,Passes.shots,A1,A2,A3,Solo Shots,5v5 TOI.shots,Shots/60,Chances/60,Passes/60.shots,A1/60,Contributions/60,PSC/60,Stretch Passes,Home Plate,Low-to-High,Behind Net,High Danger,Home Plate/60,L2H/60,BTN/60,HD/60,One-timer/60
Luke Schenn,D,ANA,2,0,0.0%,0,0.0%,2,0,0,1,1,0,45.39,2.64,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,16,6,66.7%,25.0%,29.2%,2,0,6,5,5,7,2,0,2,1,4,4,16,45.39,31.73,21.15,7.93,9.25,2.644,2,45.39,2,1,0,2.64,1.32,2,10,4,6,0,0,3,0,4,3,0,0,3,1,1,1,2,45.39,13.22,0,3.97,1.32,17.18,14.54,0,0,0,0,0,0,0,0,0,0
Cam Fowler,D,ANA,14,4,28.6%,2,14.3%,10,0,9,6,2,3,166.36,5.05,1.44,0.72,0,91,57,28,6,52,29,62.60%,6.60%,31.90%,-0.018,2.062,-0.882,79,62,28,78.5%,35.4%,20.3%,22,3,25,13,21,16,17,5,4,1,42,19,18,166.36,28.49,22.36,10.1,5.77,7.935,4,166.36,7,0,0,2.52,0,4,22,8,14,3,0,0,0,18,3,0,1,24,8,11,5,1,166.36,7.93,1.08,8.66,2.89,16.59,10.82,2,0,0,0,0,0,0,0,0,0
Andrew Cogliano,LW,ANA,29,9,31.0%,2,6.9%,20,7,13,7,13,4,116.55,14.93,4.63,1.03,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35,22,83.3%,52.4%,16.7%,0,8,14,5,8,7,0,0,0,0,25,5,12,116.55,21.62,18.02,11.33,3.6,0.000,7,116.55,38,15,2,19.56,8.75,7,24,13,11,10,0,1,2,19,0,0,2,29,21,5,3,11,116.55,12.36,5.15,14.93,10.81,27.28,23.17,0,0,13,0,0,0,6.69,0,0,2.57
Adam Henrique,C,ANA,23,12,52.2%,4,17.4%,11,3,10,7,9,3,124.01,11.13,5.81,1.94,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,23,7,74.2%,22.6%,22.6%,3,4,3,4,12,7,3,0,1,1,17,1,13,124.01,15,11.13,3.39,3.39,1.45,14,124.01,21,9,1,10.16,4.84,14,9,6,3,4,1,1,2,6,0,0,0,25,19,4,2,3,124.01,4.35,1.94,12.1,9.19,16.45,13.55,0,1,7,0,1,0.48,3.39,0,0.48,1.45
Ryan Getzlaf,C,ANA,22,13,59.1%,7,31.8%,9,4,8,7,11,4,98.01,13.47,7.96,4.29,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,37,17,86.0%,39.5%,11.6%,4,6,11,6,14,5,4,0,0,1,14,6,23,98.01,26.32,22.65,10.41,3.06,2.449,15,98.01,16,5,0,9.79,3.06,15,11,8,3,5,1,1,0,9,0,0,0,26,15,7,4,2,98.01,6.73,3.06,15.92,9.18,22.65,15.92,0,0,2,2,2,0,1.22,1.22,1.22,0.61
Ryan Kesler,C,ANA,20,11,55.0%,1,5.0%,9,3,8,4,8,0,108.91,11.02,6.06,0.55,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,5,78.6%,35.7%,21.4%,1,0,5,4,2,3,0,1,1,0,7,2,5,108.91,7.71,6.06,2.75,1.65,0.551,17,108.91,15,6,1,8.26,3.86,17,11,5,6,1,0,1,0,9,1,0,0,12,5,5,2,4,108.91,6.06,0.55,6.61,2.75,12.67,8.81,0,1,2,1,2,0.55,1.1,0.55,1.1,0
Patrick Eaves,RW,ANA,2,2,100.0%,1,50.0%,0,0,0,1,1,0,8.95,13.41,13.41,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,75.0%,25.0%,25.0%,0,0,1,0,2,1,0,0,0,0,1,0,3,8.95,26.82,20.11,6.7,6.7,0.000,18,8.95,0,0,0,0,0,18,2,2,0,0,0,0,0,2,0,0,0,3,3,0,0,0,8.95,13.41,0,20.11,20.11,33.52,33.52,0,0,0,0,0,0,0,0,0,0
Pontus Aberg,RW,ANA,26,14,53.8%,5,19.2%,12,2,5,6,16,1,89.5,17.43,9.39,3.35,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,11,90.9%,50.0%,4.5%,1,5,6,1,8,1,0,1,0,1,6,5,11,89.5,14.75,13.41,7.37,0.67,0.670,20,89.5,10,5,1,6.7,4.02,20,13,8,5,4,0,0,0,11,1,0,1,17,10,6,1,2,89.5,8.72,2.68,11.4,6.7,20.11,15.42,0,0,1,1,1,0,0.67,0.67,0.67,0.67
Jake Dotchin,D,ANA,3,0,0.0%,0,0.0%,3,0,0,0,3,0,15.9,11.32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,3,75.0%,37.5%,25.0%,2,0,3,1,2,2,1,1,0,0,3,1,4,15.9,30.19,22.64,11.32,7.55,7.547,21,15.9,1,0,0,3.77,0,21,3,1,2,0,0,2,0,1,0,0,0,1,0,1,0,0,15.9,11.32,0,3.77,0,15.09,11.32,0,0,0,0,0,0,0,0,0,0
Brian Gibbons,LW,ANA,22,10,45.5%,1,4.5%,12,4,5,5,15,4,84.48,15.63,7.1,0.71,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,7,83.3%,38.9%,16.7%,0,4,3,4,4,3,0,0,0,0,6,6,6,84.48,12.78,10.65,4.97,2.13,0.000,23,84.48,24,13,1,17.05,9.94,23,5,3,2,2,0,1,1,3,0,0,0,12,9,2,1,3,84.48,3.55,1.42,8.52,6.39,12.07,9.94,0,0,3,0,0,0,2.13,0,0,0.71
Carter Rowney,C,ANA,6,1,16.7%,0,0.0%,5,0,2,0,4,0,14.13,25.48,4.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,3,87.5%,37.5%,12.5%,1,1,2,1,3,1,1,0,0,0,5,0,3,14.13,33.97,29.72,12.74,4.25,4.246,24,14.13,2,1,0,8.49,4.25,24,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.13,4.25,0,4.25,0,8.49,4.25,0,0,0,0,0,0,0,0,0,0
Ondrej Kase,RW,ANA,9,6,66.7%,1,11.1%,3,1,2,2,5,0,19,28.42,18.95,3.16,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,83.3%,66.7%,16.7%,0,3,1,0,1,1,0,0,0,0,1,2,3,19,18.95,15.79,12.63,3.16,0.000,25,19,1,0,0,3.16,0,25,4,2,2,1,1,0,0,3,0,0,0,2,2,0,0,1,19,12.63,3.16,6.32,6.32,18.95,18.95,0,0,1,0,0,0,3.16,0,0,0
Brandon Montour,D,ANA,42,20,47.6%,3,7.1%,22,1,6,8,29,1,166.17,15.17,7.22,1.08,0.36,123,90,23,10,70,36,73.20%,8.10%,29.30%,1.368,1.491,-0.478,63,48,23,76.2%,36.5%,19.0%,11,7,16,9,16,12,10,1,5,3,18,7,38,166.17,22.75,17.33,8.3,4.33,3.972,26,166.17,10,4,0,3.61,1.44,26,26,14,12,2,0,4,0,20,1,0,1,32,16,13,3,7,166.17,9.39,0.72,11.55,5.78,20.94,15.17,0,0,1,0,0,0,0.36,0,0,0
Marcus Pettersson,D,ANA,8,2,25.0%,0,0.0%,6,0,6,0,2,0,105.8,4.54,1.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,28,12,65.1%,27.9%,32.6%,9,0,12,4,12,14,9,0,0,1,36,4,3,105.8,24.39,15.88,6.81,7.94,5.104,28,105.8,5,3,0,2.84,1.7,28,9,3,6,0,0,1,0,4,4,0,0,14,9,3,2,2,105.8,5.1,0,7.94,5.1,13.04,10.21,1,0,0,0,0,0,0,0,0,0
Jacob Larsson,D,ANA,9,3,33.3%,1,11.1%,6,0,6,1,2,0,56.61,9.54,3.18,1.06,0,70,51,13,6,41,21,72.90%,8.60%,30.00%,1.326,1.651,-0.362,36,27,12,75.0%,33.3%,22.2%,7,3,9,2,13,8,5,2,2,1,26,3,7,56.61,38.16,28.62,12.72,8.48,7.419,32,56.61,1,1,0,1.06,1.06,32,5,1,4,0,0,0,0,2,3,0,0,8,2,4,2,0,56.61,5.3,0,8.48,2.12,13.78,7.42,1,0,0,1,1,0,0,1.06,1.06,0
Jakob Silfverberg,RW,ANA,33,16,48.5%,5,15.2%,17,5,11,6,17,1,83.87,23.61,11.45,3.58,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,6,83.3%,25.0%,16.7%,1,3,3,2,12,4,1,0,2,0,5,3,16,83.87,17.17,14.31,4.29,2.86,0.715,33,83.87,19,5,2,13.59,5.01,33,24,13,11,5,0,1,1,21,1,0,0,17,8,8,1,6,83.87,17.17,3.58,12.16,5.72,29.33,22.89,0,0,2,1,1,0,1.43,0.72,0.72,1.43
Sam Steel,C,ANA,30,13,43.3%,6,20.0%,17,8,12,8,16,6,94.33,19.08,8.27,3.82,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,21,9,77.8%,33.3%,22.2%,0,6,3,6,6,6,0,0,0,0,16,5,6,94.33,17.17,13.36,5.72,3.82,0.000,34,94.33,15,5,1,9.54,3.82,34,11,6,5,4,1,1,0,7,0,0,2,21,13,4,4,4,94.33,7,2.54,13.36,8.27,20.35,15.27,1,1,4,2,3,0.64,2.54,1.27,1.91,0.64
Nick Ritchie,LW,ANA,6,3,50.0%,1,16.7%,3,0,1,1,5,1,18.15,19.83,9.92,3.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,2,100.0%,33.3%,0.0%,0,2,0,1,3,0,0,0,0,0,3,0,3,18.15,19.83,19.83,6.61,0,0.000,37,18.15,5,3,0,16.53,9.92,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.15,0,0,3.31,3.31,3.31,3.31,0,0,0,1,1,0,0,3.31,3.31,0
Joseph Blandisi,Rw,ANA,9,2,22.2%,1,11.1%,7,1,7,1,2,1,30.02,17.99,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,5,90.0%,50.0%,10.0%,0,5,0,1,3,1,0,0,1,0,7,2,1,30.02,19.99,17.99,9.99,2,0.000,39,30.02,7,3,0,13.99,6,39,4,1,3,0,0,0,0,4,0,0,0,3,2,1,0,2,30.02,7.99,0,6,4,13.99,11.99,0,0,1,0,0,0,2,0,0,0
Josh Manson,D,ANA,33,8,24.2%,7,21.2%,25,0,5,7,22,1,156.21,12.68,3.07,2.69,0,124,68,37,19,57,31,54.80%,15.30%,25.00%,-1.044,0.553,1.409,91,72,32,79.1%,35.2%,16.5%,10,8,24,13,27,15,7,3,0,4,13,11,67,156.21,34.95,27.66,12.29,5.76,3.841,42,156.21,10,4,0,3.84,1.54,42,19,11,8,1,0,2,0,11,5,0,1,31,14,11,6,5,156.21,7.3,0.38,11.91,5.38,19.2,12.68,1,0,1,0,0,0,0.38,0,0,0.77
Andy Welinski,D,ANA,3,0,0.0%,0,0.0%,3,0,0,0,3,0,35.48,5.07,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,9,88.2%,52.9%,5.9%,0,0,9,2,4,1,0,0,1,1,4,8,5,35.48,28.75,25.37,15.22,1.69,0.000,45,35.48,2,0,0,3.38,0,45,10,6,4,1,0,0,0,8,2,0,0,7,2,3,2,4,35.48,16.91,1.69,11.84,3.38,28.75,20.29,0,0,0,0,0,0,0,0,0,0
Ben Street,RW,ANA,15,6,40.0%,0,0.0%,9,0,8,6,2,1,79.97,11.25,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,1,44.4%,11.1%,44.4%,0,0,1,0,3,4,0,0,0,1,6,2,1,79.97,6.75,3,0.75,3,0.000,46,79.97,10,5,0,7.5,3.75,46,6,4,2,1,2,0,0,4,0,0,0,6,4,2,0,1,79.97,4.5,0.75,4.5,3,9,7.5,0,0,0,1,1,0,0,0.75,0.75,0.75
Hampus Lindholm,D,ANA,20,4,20.0%,2,10.0%,16,0,7,11,3,1,172.54,6.95,1.39,0.7,0,132,69,42,21,57,21,52.30%,15.90%,15.90%,-1.382,-1.445,1.563,104,84,47,80.8%,45.2%,18.3%,14,15,32,13,24,19,11,3,3,1,57,21,26,172.54,36.17,29.21,16.34,6.61,4.868,47,172.54,3,2,0,1.04,0.7,47,17,5,12,1,0,3,0,14,0,0,0,30,14,12,4,3,172.54,5.91,0.35,10.43,4.87,16.34,10.78,3,1,0,0,1,0.35,0,0,0.35,0.35
Isac Luderstrom,Rw,ANA,19,12,63.2%,3,15.8%,7,5,6,9,6,2,87.79,12.99,8.2,2.05,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,25,10,92.6%,37.0%,7.4%,2,6,4,3,12,2,1,1,0,0,16,3,8,87.79,18.45,17.09,6.83,1.37,1.367,48,87.79,11,4,1,7.52,3.42,48,10,6,4,5,1,0,0,7,0,1,1,11,8,2,1,5,87.79,6.83,3.42,7.52,5.47,14.35,12.3,0,0,4,0,0,0,2.73,0,0,1.37
Max Comtois,LW,ANA,13,4,30.8%,3,23.1%,9,0,7,0,7,1,63.56,12.27,3.78,2.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,6,72.2%,33.3%,27.8%,0,2,4,0,7,5,0,0,1,0,12,3,3,63.56,16.99,12.27,5.66,4.72,0.000,53,63.56,10,2,0,9.44,1.89,53,7,3,4,3,1,1,0,5,0,0,0,9,7,2,0,1,63.56,6.61,2.83,8.5,6.61,15.1,13.22,1,0,2,0,0,0,1.89,0,0,0.94
Sam Carrick,C,ANA,2,0,0.0%,0,0.0%,2,0,0,0,2,0,5.92,20.27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,100.0%,0.0%,0.0%,0,0,0,0,1,0,0,0,0,0,1,0,0,5.92,10.14,10.14,0,0,0.000,56,5.92,1,0,0,10.14,0,56,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.92,10.14,10.14,0,0,10.14,10.14,0,0,0,0,0,0,0,0,0,0
Troy Terry,LW,ANA,12,7,58.3%,3,25.0%,5,3,7,2,4,1,38.47,18.72,10.92,4.68,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,11,75.0%,68.8%,25.0%,0,5,6,1,0,4,0,0,0,0,5,4,7,38.47,24.95,18.72,17.16,6.24,0.000,61,38.47,4,1,0,6.24,1.56,61,2,1,1,1,0,0,0,2,0,0,0,10,5,4,1,0,38.47,3.12,1.56,15.6,7.8,18.72,10.92,0,0,2,1,1,0,3.12,1.56,1.56,0
Andrej Sustr,D,ANA,2,0,0.0%,0,0.0%,2,0,0,0,2,0,24.14,4.97,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,2,66.7%,22.2%,22.2%,2,0,2,2,2,2,0,2,0,1,2,1,6,24.14,22.37,14.91,4.97,4.97,4.971,62,24.14,2,2,0,4.97,4.97,62,5,4,1,0,0,1,0,4,0,0,0,1,1,0,0,0,24.14,12.43,0,2.49,2.49,14.91,14.91,1,0,0,0,0,0,0,0,0,0
Kiefer Sherwood,LW,ANA,56,28,50.0%,4,7.1%,28,3,20,8,28,0,108.65,30.92,15.46,2.21,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35,18,83.3%,42.9%,14.3%,0,9,9,7,10,6,0,0,0,1,12,5,25,108.65,23.19,19.33,9.94,3.31,0.000,64,108.65,21,6,0,11.6,3.31,64,23,17,6,7,1,1,0,17,2,0,2,19,12,7,0,6,108.65,12.7,3.87,10.49,6.63,23.19,19.33,1,0,4,2,2,0,2.21,1.1,1.1,1.66
Rickard Rakell,RW,ANA,61,40,65.6%,14,23.0%,21,8,27,14,24,4,154.2,23.74,15.56,5.45,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,49,26,81.7%,43.3%,13.3%,4,15,11,3,20,8,4,0,0,3,22,8,30,154.2,23.35,19.07,10.12,3.11,1.556,67,154.2,21,9,2,8.17,4.28,67,27,15,12,6,0,1,0,24,0,0,2,31,20,11,0,14,154.2,10.51,2.33,12.06,7.78,22.57,18.29,1,0,5,2,2,0,1.95,0.78,0.78,1.17
Josh Mahura,D,ANA,2,0,0.0%,0,0.0%,2,0,2,0,0,0,16.62,7.22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,80.0%,40.0%,20.0%,1,0,2,1,1,1,1,0,0,0,3,0,2,16.62,18.05,14.44,7.22,3.61,3.610,76,16.62,2,1,0,7.22,3.61,76,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,16.62,0,0,7.22,7.22,7.22,7.22,0,0,0,0,0,0,0,0,0,0
Kalle Kossila,C,ANA,1,1,100.0%,0,0.0%,0,0,0,0,1,0,6.7,8.96,8.96,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,100.0%,50.0%,0.0%,0,0,1,0,1,0,0,0,0,0,1,1,0,6.7,17.91,17.91,8.96,0,0.000,83,6.7,1,0,0,8.96,0,83,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.7,8.96,8.96,0,0,8.96,8.96,0,0,0,0,0,0,0,0,0,0
Niklas Hjalmarsson,D,ARI,13,1,7.7%,1,7.7%,12,0,3,1,9,0,153.79,5.072,0.39,0.39,0,130,87,29,14,64,33,66.90%,10.80%,25.40%,0.546,0.637,0.214,95,67,17,70.5%,17.9%,26.3%,9,1,16,10,40,25,5,4,3,3,37,8,50,153.79,37.06,26.14,6.63,9.75,3.511,4,153.79,4,2,0,1.56,0.78,4,12,4,8,1,0,2,0,5,5,0,0,21,11,9,1,1,153.79,4.68,0.39,8.19,4.29,12.87,8.97,3,0,0,0,0,0,0,0,0,0
Clayton Keller,C,ARI,57,33,57.9%,12,21.1%,24,6,21,8,34,6,137.62,24.851,14.387,5.232,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,43,23,95.6%,51.1%,2.2%,1,12,11,8,12,1,1,0,0,1,10,12,23,137.62,19.62,18.75,10.03,0.44,0.436,9,137.62,27,15,0,11.77,6.54,9,27,19,8,10,0,1,0,24,0,0,2,35,23,11,1,7,137.62,11.77,4.36,15.26,10.03,27.03,21.8,0,1,6,1,2,0.44,2.62,0.44,0.87,0.87
Brendan Perlini,LW,ARI,35,17,48.6%,3,8.6%,18,7,21,6,9,1,114.25,18.381,8.928,1.575,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,16,11,72.7%,50.0%,22.7%,1,5,6,1,4,5,1,0,0,1,13,3,6,114.25,11.55,8.4,5.78,2.63,0.525,11,114.25,25,11,0,13.13,5.78,11,35,20,15,13,3,3,3,23,0,0,3,18,11,6,1,15,114.25,18.38,6.83,9.45,5.78,27.83,24.16,1,0,1,1,1,0,0.53,0.53,0.53,0.53
Vinnie Hinostroza,RW,ARI,35,18,51.4%,6,17.1%,17,6,14,6,19,4,118.16,17.773,9.14,3.047,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,34,13,73.9%,28.3%,23.9%,2,7,6,6,15,11,1,1,0,1,7,5,34,118.16,23.36,17.26,6.6,5.59,1.016,13,118.16,29,12,2,14.73,7.11,13,17,10,7,8,1,1,1,14,0,0,0,30,22,5,3,8,118.16,8.63,4.06,15.23,11.17,23.87,19.8,0,0,5,2,2,0,2.54,1.02,1.02,2.03
Richard Panik,LW,ARI,31,19,61.3%,7,22.6%,12,2,14,6,17,6,109.19,17.035,10.441,3.847,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,22,12,95.7%,52.2%,4.3%,0,6,6,3,7,1,0,0,0,0,16,1,6,109.19,12.64,12.09,6.59,0.55,0.000,14,109.19,25,12,0,13.74,6.59,14,17,10,7,8,1,1,0,12,0,1,2,13,10,2,1,8,109.19,9.34,4.4,7.14,5.5,16.49,14.84,0,0,2,0,0,0,1.1,0,0,0
Brad Richardson,RW,ARI,32,9,28.1%,2,6.3%,23,6,13,4,15,0,109.44,17.544,4.934,1.096,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,12,83.3%,40.0%,16.7%,1,8,4,7,6,5,1,0,0,0,14,3,13,109.44,16.45,13.71,6.58,2.74,0.548,15,109.44,17,7,1,9.32,4.39,15,18,10,8,6,1,1,0,12,0,1,3,18,15,3,0,7,109.44,9.87,3.29,9.87,8.22,19.74,18.09,1,1,5,2,3,0.55,2.74,1.1,1.64,1.1
Alex Galchenyuk,C,ARI,14,9,64.3%,5,35.7%,5,4,9,1,6,2,78.35,10.721,6.892,3.829,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,8,64.7%,47.1%,35.3%,0,4,4,1,2,6,0,0,0,0,8,3,6,78.35,13.02,8.42,6.13,4.59,0.000,17,78.35,11,5,0,8.42,3.83,17,8,4,4,2,0,1,0,5,1,0,1,20,11,7,2,4,78.35,6.13,1.53,15.32,8.42,21.44,14.55,0,0,5,0,0,0,3.83,0,0,0
Dylan Strome,C,ARI,24,16,66.7%,4,16.7%,8,6,9,10,7,2,102.27,14.08,9.387,2.347,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,22,13,91.7%,54.2%,4.2%,1,5,8,3,6,1,0,1,0,1,8,2,14,102.27,14.08,12.91,7.63,0.59,0.587,20,102.27,11,4,0,6.45,2.35,20,21,14,7,10,0,0,1,19,1,0,0,33,25,7,1,8,102.27,12.32,5.87,19.36,14.67,31.68,26.99,0,1,12,3,4,0.59,7.04,1.76,2.35,1.17
Derek Stepan,C,ARI,34,17,50.0%,8,23.5%,17,4,13,7,15,1,125.85,16.21,8.105,3.814,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,39,17,83.0%,36.2%,17.0%,4,6,11,1,21,8,3,1,1,0,18,7,22,125.85,22.41,18.59,8.1,3.81,1.907,21,125.85,16,8,1,7.63,4.29,21,26,18,8,11,3,1,3,17,0,1,1,39,22,11,6,10,125.85,12.4,5.24,18.59,10.49,30.99,22.88,2,1,9,3,4,0.48,4.29,1.43,1.91,0.95
Oliver Ekman-Larsson,D,ARI,18,6,33.3%,2,11.1%,12,0,13,3,3,1,179.22,6.026,2.009,0.67,0,152,98,37,17,82,38,64.50%,11.20%,25.00%,0.224,0.553,0.323,98,85,35,86.7%,35.7%,11.2%,7,5,30,12,38,11,5,2,3,2,77,15,6,179.22,32.81,28.46,11.72,3.68,2.343,23,179.22,7,1,0,2.34,0.33,23,52,19,33,6,0,1,0,47,4,0,0,33,19,10,4,6,179.22,17.41,2.01,11.05,6.36,28.46,23.77,3,0,0,0,0,0,0,0,0,0.67
Nick Cousins,C,ARI,40,25,62.5%,11,27.5%,15,2,22,6,15,3,121.27,19.791,12.369,5.442,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,11,80.0%,44.0%,16.0%,4,6,5,3,6,4,3,1,0,1,11,5,9,121.27,12.37,9.9,5.44,1.98,1.979,25,121.27,19,8,2,9.4,4.95,25,24,15,9,7,2,0,1,19,0,0,2,33,24,7,2,12,121.27,11.87,3.46,16.33,11.87,28.2,23.75,1,0,5,3,3,0,2.47,1.48,1.48,1.98
Mario Kempe,RW,ARI,8,3,37.5%,1,12.5%,5,1,1,1,6,0,19.05,25.197,9.449,3.15,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,66.7%,66.7%,0.0%,0,0,2,0,0,0,0,0,0,1,1,0,2,19.05,9.45,6.3,6.3,0,0.000,29,19.05,1,1,0,3.15,3.15,29,2,2,0,0,0,0,0,2,0,0,0,4,2,2,0,0,19.05,6.3,0,12.6,6.3,18.9,12.6,0,0,0,0,0,0,0,0,0,0
Alex Goligoski,D,ARI,18,8,44.4%,2,11.1%,10,0,9,3,6,0,140.28,7.699,3.422,0.855,0,116,73,37,6,49,19,62.90%,5.20%,16.40%,0.021,-1.342,-1.254,71,53,26,74.6%,36.6%,23.9%,5,5,21,13,14,17,1,4,4,1,45,8,18,140.28,30.37,22.67,11.12,7.27,2.139,33,140.28,7,4,0,2.99,1.71,33,23,8,15,3,0,3,0,16,2,0,2,20,12,7,1,6,140.28,9.84,1.28,8.55,5.13,18.39,14.97,2,1,0,0,1,0.43,0,0,0.43,0.43
Christian Fischer,RW,ARI,43,17,39.5%,3,7.0%,26,9,15,5,26,3,115.09,22.417,8.863,1.564,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,26,14,74.3%,40.0%,22.9%,0,11,3,1,11,8,0,0,0,1,12,2,21,115.09,18.25,13.55,7.3,4.17,0.000,36,115.09,18,2,0,9.38,1.04,36,39,25,14,15,2,1,1,33,1,0,1,22,15,5,2,16,115.09,20.33,7.82,11.47,7.82,31.8,28.15,1,2,6,0,2,1.04,3.13,0,1.04,1.04
Michael Grabner,LW,ARI,28,14,50.0%,3,10.7%,14,4,14,7,8,1,110.27,15.235,7.618,1.632,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,22,6,84.6%,23.1%,7.7%,0,2,4,7,9,2,0,0,0,2,19,3,4,110.27,14.15,11.97,3.26,1.09,0.000,40,110.27,15,6,0,8.16,3.26,40,17,8,9,5,0,1,0,15,0,0,1,16,12,3,1,8,110.27,9.25,2.72,8.71,6.53,17.96,15.78,0,0,4,1,1,0,2.18,0.54,0.54,0.54
Kevin Connauton,D,ARI,23,3,13.0%,0,0.0%,20,0,17,5,3,2,130.48,10.576,1.38,0,0,94,63,23,8,71,29,67.00%,8.50%,30.90%,0.559,1.838,-0.378,67,57,25,85.1%,37.3%,10.4%,4,9,16,5,27,7,2,2,4,2,35,21,11,130.48,30.81,26.21,11.5,3.22,1.839,44,130.48,4,1,1,1.84,0.92,44,30,14,16,1,0,2,0,25,2,0,1,7,4,2,1,9,130.48,13.8,0.46,3.22,1.84,17.01,15.63,1,0,0,0,0,0,0,0,0,0
