Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
Corey Schueneman,86.61666667,13,2,1,1,0,0,1,1,9.005,1.385,15.4%,7.7%,0.0%,0.69,0,0.69,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mattias Norlinder,8.966666667,2,1,0,1,1,1,50.00%,0.0%,100.0%,100.0%,13.38289963,6.691449814,0,13.38289963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Smith,344.38,105,50,22,10,19,11,6,31,18.294,8.711,47.6%,9.5%,22.0%,5.4,3.31,2.96,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mattias Samuelsson,186.5666667,81,44,10,16,12,5,54.32%,12.3%,36.4%,21.0%,26.04966947,14.15043773,3.216008576,5.467214579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Lazar,281.7,79,36,9,6,12,3,7,28,16.826,7.668,45.6%,7.6%,8.3%,5.96,2.56,2.13,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maxime Lajoie,30.55,11,5,1,2,1,0,45.45%,9.1%,40.0%,9.1%,21.60392799,9.8199672670000009,1.963993453,1.963993453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Joshua,89.96666666,18,5,2,1,5,2,0,8,12.004,3.335,27.8%,5.6%,40.0%,5.34,3.33,1.33,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Del Zotto,61.73333333,23,12,2,3,4,1,52.17%,8.7%,25.0%,21.7%,22.35421166,11.66306696,1.943844493,4.859611231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damon Severson,497.75,30,16,6,5,1,4,1,5,3.616,1.929,53.3%,16.7%,25.0%,0.6,0.12,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Stone,53.1,23,12,2,2,2,1,52.17%,8.7%,16.7%,13.0%,25.98870056,13.55932203,2.259887006,3.389830508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Renouf,26.87,1,0,0,0,0,0,0,0,2.233,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michal Kempny,75.8,41,22,3,5,5,1,53.66%,7.3%,22.7%,14.6%,32.45382586,17.41424802,2.374670185,4.749340369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Sprong,277.73,85,60,15,15,18,11,4,19,18.363,12.962,70.6%,17.6%,18.3%,4.1,3.89,3.24,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mike Matheson,485.25,191,114,30,40,20,1,59.69%,15.7%,35.1%,11.0%,23.61669243,14.09582689,3.70942813,2.596599691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniil Miromanov,26.37,2,0,1,0,0,0,0,0,4.551,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mike Reilly,408.5166667,155,87,15,21,15,1,56.13%,9.7%,24.1%,10.3%,22.76528905,12.77793644,2.203092489,2.349965322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny DeKeyser,279.48,25,1,2,1,0,0,2,0,5.367,0.215,4.0%,4.0%,0.0%,0,0,0.43,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mikey Anderson,417.0666667,151,78,19,18,18,4,51.66%,12.6%,23.1%,14.6%,21.72314578,11.22122762,2.733375959,3.164961637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny O'Regan,22.86666667,2,0,0,0,2,0,0,1,5.248,0,0.0%,0.0%,#DIV/0!,2.62,5.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mikhail Sergachev,613.4833333,182,122,18,39,22,1,67.03%,9.9%,32.0%,12.6%,17.79999457,11.93186449,1.760439023,2.249449863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dante Fabbro,446.2,36,8,2,2,3,1,3,10,4.841,1.076,22.2%,5.6%,12.5%,1.34,0.4,0.54,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miro Heiskanen,476.4,204,102,32,30,11,4,50.00%,15.7%,29.4%,7.4%,25.69269521,12.84634761,4.0302267,1.889168766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danton Heinen,363.8166667,111,60,8,24,17,19,4,48,18.306,9.895,54.1%,21.6%,31.7%,7.92,2.8,3.79,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morgan Rielly,651.5,217,131,18,41,41,9,60.37%,8.3%,31.3%,23.0%,19.98465081,12.06446662,1.65771297,4.60475825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Nurse,731.65,130,51,6,12,1,10,9,7,10.661,4.182,39.2%,9.2%,19.6%,0.57,0.08,1.56,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moritz Seider,459.8833333,155,97,15,31,17,6,62.58%,9.7%,32.0%,14.8%,20.2225202,12.65538361,1.957018084,3.000761063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Helm,302.4,77,23,11,3,16,6,1,47,15.278,4.563,29.9%,3.9%,26.1%,9.33,3.17,1.39,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nate Schmidt,574.7,225,147,18,52,36,5,65.33%,8.0%,35.4%,18.2%,23.49051679,15.34713764,1.879241343,4.280494171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Raddysh,19.06666667,5,2,0,1,0,1,0,0,15.734,6.294,40.0%,20.0%,50.0%,0,0,3.15,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nathan Beaulieu,122.1,43,31,1,10,11,0,72.09%,2.3%,32.3%,25.6%,21.13022113,15.23341523,0.491400491,5.405405406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Gustafsson,2.616666667,3,0,0,0,0,0,0,0,68.79,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neal Pionk,502.4333333,210,135,18,37,34,8,64.29%,8.6%,27.4%,20.0%,25.07795396,16.12154183,2.149538911,5.015590791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Kampf,435.85,88,51,9,8,14,5,1,44,12.114,7.021,58.0%,9.1%,9.8%,6.06,1.93,0.83,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Blankenburg,51.55,11,8,2,2,3,0,72.73%,18.2%,25.0%,27.3%,12.80310378,9.311348206,2.327837051,3.491755577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Pastrnak,390.83,144,92,30,29,19,20,2,21,22.107,14.124,63.9%,20.1%,21.7%,3.22,2.92,3.38,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Holden,440.6166667,177,87,24,22,20,6,49.15%,13.6%,25.3%,14.7%,24.1025835,11.84703257,3.268146915,3.540492492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Perron,366.1833333,107,46,11,11,20,5,7,33,17.532,7.537,43.0%,10.3%,10.9%,5.41,3.28,1.97,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Jensen,534.3833333,192,120,19,32,24,5,62.50%,9.9%,26.7%,15.1%,21.55755856,13.4734741,2.133300066,3.256089574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Savard,294.1166667,16,3,3,1,0,1,1,3,3.264,0.612,18.8%,6.3%,33.3%,0.61,0,0.41,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Leddy,531.0666667,153,100,9,24,25,4,65.36%,5.9%,24.0%,19.0%,17.28596535,11.29801657,1.016821491,3.276424805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Mercer,401.95,116,75,18,25,13,19,9,28,17.316,11.195,64.7%,21.6%,25.3%,4.18,1.94,4.18,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Seeler,275.8833333,83,46,9,15,11,3,55.42%,10.8%,32.6%,16.9%,18.05110856,10.00422884,1.957349121,3.044765299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dean Kukan,142.72,14,4,3,0,0,0,1,1,5.886,1.682,28.6%,0.0%,0.0%,0.42,0,0.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicolas Beaudin,10.28333333,4,2,0,1,1,0,50.00%,0.0%,50.0%,25.0%,23.33873583,11.66936791,0,5.834683957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Declan Chisholm,25.87,3,1,0,0,0,0,0,0,6.959,2.32,33.3%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicolas Hague,400.4166667,151,89,14,32,24,5,58.94%,9.3%,36.0%,19.2%,22.6264308,13.33610822,2.097814776,4.345473465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denis Gurianov,329.5,98,58,15,17,20,14,2,25,17.845,10.561,59.2%,17.3%,24.1%,4.55,3.64,2.91,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicolas Meloche,245.2333333,108,56,15,13,12,4,51.85%,13.9%,23.2%,14.8%,26.42381405,13.70123692,3.669974174,3.914639119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Cholowski,29.73,3,1,0,0,0,0,0,0,6.054,2.018,33.3%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikita Zadorov,476.5,177,81,23,21,13,8,45.76%,13.0%,25.9%,11.9%,22.28751312,10.19937041,2.896117524,2.644281217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Forbort,456.52,32,4,0,2,0,1,0,2,4.206,0.526,12.5%,6.3%,25.0%,0.26,0,0.13,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikita Zaitsev,298.15,110,72,10,28,14,3,65.45%,9.1%,38.9%,15.5%,22.13650847,14.489351,2.012409861,3.421096763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Grant,250.4,41,14,7,3,13,4,1,17,9.824,3.355,34.1%,7.3%,28.6%,4.07,3.12,1.2,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niko Mikkola,294.7666667,107,53,15,20,9,1,49.53%,14.0%,37.7%,9.3%,21.77993893,10.78819405,3.053262467,2.035508312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Ryan,359.47,102,44,11,11,26,8,4,37,17.025,7.344,43.1%,10.8%,18.2%,6.18,4.34,2,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nils Lundkvist,135.3333333,60,43,3,15,11,1,71.67%,5.0%,34.9%,20.0%,26.60098522,19.06403941,1.330049261,5.320197044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Stepan,226.03,57,23,4,6,10,4,2,23,15.131,6.105,40.4%,10.5%,17.4%,6.11,2.65,1.59,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noah Dobson,619,255,164,12,38,24,7,64.31%,4.7%,23.2%,12.2%,24.71728594,15.89660743,1.163166397,3.004846527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derick Brassard,188.52,47,20,7,11,8,5,1,9,14.959,6.365,42.6%,23.4%,25.0%,2.86,2.55,1.91,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noah Hanifin,530.0333333,233,132,33,28,23,5,56.65%,14.2%,21.2%,12.0%,26.37569964,14.94245645,3.735614112,3.169611974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Pouliot,14.1,2,1,0,0,0,1,0,0,8.511,4.255,50.0%,0.0%,100.0%,0,0,4.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noah Juulsen,41.08333333,20,11,3,5,6,0,55.00%,15.0%,45.5%,30.0%,29.20892495,16.06490872,4.381338742,8.762677485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Shore,201.33,43,26,4,1,8,5,0,15,12.815,7.748,60.5%,2.3%,19.2%,4.47,2.38,1.49,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliver Ekman-Larsson,448.2,165,96,17,27,26,6,58.18%,10.3%,28.1%,19.4%,22.08835341,12.85140562,2.275769746,4.283801874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devon Toews,666.95,115,51,5,30,1,16,7,16,10.346,4.588,44.3%,26.1%,31.4%,1.44,0.09,2.07,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliver Kylington,514.35,206,138,16,41,25,3,66.99%,7.8%,29.7%,13.6%,24.03032954,16.09798775,1.866433363,3.266258384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillon Dube,330.38,103,59,9,12,19,8,2,34,18.706,10.715,57.3%,11.7%,13.6%,6.17,3.45,1.82,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olli Juolevi,81.88333333,30,15,3,5,7,0,50.00%,10.0%,33.3%,23.3%,21.98249542,10.99124771,2.198249542,5.129248931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillon Heatherington,33.57,3,0,0,0,0,0,0,0,5.362,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olli Maatta,404.1666667,160,81,23,25,15,1,50.63%,14.4%,30.9%,10.0%,23.75257732,12.02474227,3.41443299,2.375257732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmitri Samorukov,2.47,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Owen Power,32.06666667,11,6,1,4,1,0,54.55%,9.1%,66.7%,9.1%,20.58212058,11.22661123,1.871101871,1.871101871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmitrij Jaskin,42.31666666,5,2,1,1,3,1,0,1,7.089,2.836,40.0%,20.0%,50.0%,1.42,4.25,1.42,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,P.K. Subban,456.92,156,92,15,30,18,3,58.97%,9.6%,32.6%,13.5%,20.48513587,12.08097757,1.969724603,2.757614445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmitry Kulikov,550.13,53,24,8,4,0,4,0,7,5.78,2.618,45.3%,7.5%,16.7%,0.76,0,0.44,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrik Nemeth,366.0166667,121,76,4,18,14,4,62.81%,3.3%,23.7%,14.9%,19.83516233,12.45844907,0.655707846,2.950685306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmitry Orlov,578.8,123,49,19,14,2,9,9,9,12.751,5.079,39.8%,11.4%,18.4%,0.93,0.21,1.87,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philip Broberg,134.1166667,50,26,3,8,6,3,52.00%,6.0%,30.8%,18.0%,22.36858457,11.63166397,1.342115074,4.026345222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominic Toninato,221.95,54,25,4,7,12,6,2,19,14.598,6.758,46.3%,13.0%,24.0%,5.14,3.24,2.16,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippe Myers,125.6166667,46,26,4,8,6,1,56.52%,8.7%,30.8%,15.2%,21.97160674,12.41873424,1.910574499,3.343505373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominik Kubalik,308.32,71,33,5,6,11,5,2,19,13.817,6.422,46.5%,8.5%,15.2%,3.7,2.14,1.36,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pierre-Olivier Joseph,16.08333333,5,4,0,1,1,0,80.00%,0.0%,25.0%,20.0%,18.65284974,14.9222798,0,3.730569949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominik Simon,270.0666667,73,44,11,10,19,8,0,34,16.218,9.775,60.3%,13.7%,18.2%,7.55,4.22,1.78,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quinn Hughes,497.7666667,169,114,10,30,22,4,67.46%,5.9%,26.3%,15.4%,20.37099042,13.74137816,1.205384049,3.133998527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dougie Hamilton,367.78,42,21,7,9,1,5,1,4,6.852,3.426,50.0%,21.4%,23.8%,0.65,0.16,0.98,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,Radim Simek,119.3833333,57,27,9,8,7,0,47.37%,15.8%,29.6%,12.3%,28.64721485,13.56973335,4.523244451,3.518079017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Batherson,177.35,46,27,6,10,6,6,2,16,15.562,9.134,58.7%,21.7%,22.2%,5.41,2.03,2.71,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,Radko Gudas,511.7833333,229,137,37,34,37,5,59.83%,16.2%,24.8%,18.3%,26.84729866,16.06148435,4.337773146,4.923958707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Caggiula,78.98333334,23,13,7,3,0,2,1,1,17.472,9.876,56.5%,13.0%,15.4%,0.76,0,2.28,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rasmus Andersson,550.8166667,186,131,14,35,27,2,70.43%,7.5%,26.7%,15.6%,20.26082484,14.26972072,1.525008321,3.158945808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Doughty,349.5,37,15,2,7,0,3,3,2,6.352,2.575,40.5%,18.9%,20.0%,0.34,0,1.03,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rasmus Dahlin,431.4333333,154,96,10,34,27,5,62.34%,6.5%,35.4%,20.8%,21.41698215,13.35084602,1.390713127,4.450282006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew O'Connor,90.36666667,36,19,8,3,7,4,1,1,23.903,12.615,52.8%,8.3%,21.1%,0.66,4.65,3.32,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rasmus Ristolainen,483.8666667,184,117,12,44,28,8,63.59%,6.5%,37.6%,19.6%,22.81620281,14.50812896,1.488013227,4.46403968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryden Hunt,384.0666667,114,45,4,12,20,12,2,31,17.809,7.03,39.5%,10.5%,26.7%,4.84,3.12,2.19,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rasmus Sandin,395.5,127,74,15,20,23,2,58.27%,11.8%,27.0%,19.7%,19.26675095,11.22629583,2.275600506,3.79266751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan Keith,511.02,24,3,1,2,0,0,0,6,2.818,0.352,12.5%,8.3%,0.0%,0.7,0,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Riley Stillman,218.2833333,92,56,7,21,14,2,60.87%,7.6%,37.5%,17.4%,25.28823395,15.39283805,1.924104757,4.39795373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Brown,289.3833333,75,42,8,10,12,11,3,14,15.55,8.708,56.0%,13.3%,26.2%,2.9,2.49,2.9,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert Bortuzzo,302.1666667,105,55,9,19,13,5,52.38%,8.6%,34.5%,17.1%,20.84942085,10.92112521,1.787093216,3.574186431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Coghlan,327.67,26,11,3,5,1,3,1,4,4.761,2.014,42.3%,19.2%,27.3%,0.73,0.18,0.73,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert Hagg,229.1666667,101,72,7,23,15,1,71.29%,6.9%,31.9%,15.8%,26.44363636,18.85090909,1.832727273,4.189090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Cozens,288.2166667,91,65,18,17,12,16,3,18,18.944,13.531,71.4%,18.7%,24.6%,3.75,2.5,3.96,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robin Salo,121.6666667,51,24,4,6,5,1,47.06%,7.8%,25.0%,11.8%,25.15068493,11.83561644,1.97260274,2.95890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan DeMelo,427.42,37,7,1,3,0,2,1,7,5.194,0.983,18.9%,8.1%,28.6%,0.98,0,0.42,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Josi,597.7166667,170,88,21,27,22,4,51.76%,12.4%,30.7%,15.3%,17.06494158,8.833616819,2.108022196,2.609932242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Gambrell,180.57,51,17,5,6,8,3,2,17,16.947,5.649,33.3%,11.8%,17.6%,5.65,2.66,1.66,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Ellis,68.25,27,12,3,5,1,1,44.44%,11.1%,41.7%,7.4%,23.73626374,10.54945055,2.637362637,1.758241758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Larkin,383.67,109,71,18,21,16,21,2,39,17.046,11.103,65.1%,19.3%,29.6%,6.1,2.5,3.6,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Graves,462.28,186,121,23,25,24,2,65.05%,12.4%,20.7%,14.0%,24.14103904,15.70465443,2.985182247,3.374553845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Samberg,51.25,6,2,0,2,0,2,0,1,7.024,2.341,33.3%,33.3%,100.0%,1.17,0,2.34,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Lindgren,553.1333333,232,163,13,47,31,3,70.26%,5.6%,28.8%,14.7%,25.16572255,17.68108955,1.410148246,3.688080029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Sikura,15.67,4,1,0,0,0,0,1,2,15.319,3.83,25.0%,0.0%,0.0%,7.66,0,3.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan McDonagh,524.3666667,182,112,15,36,27,3,61.54%,8.2%,32.1%,16.5%,20.82512237,12.81545992,1.716356239,3.432712479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Strome,313.22,76,46,8,15,11,7,1,24,14.559,8.812,60.5%,19.7%,15.2%,4.6,2.11,1.53,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Merkley,173.2,72,45,6,12,11,1,62.50%,8.3%,26.7%,16.7%,24.94226328,15.58891455,2.07852194,4.15704388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysin Mayo,311.65,19,7,5,1,0,2,0,3,3.658,1.348,36.8%,5.3%,28.6%,0.58,0,0.39,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Murray,259.7666667,92,58,8,24,13,1,63.04%,8.7%,41.4%,15.2%,21.2498396,13.39663801,1.847812139,3.233671243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eeli Tolvanen,346.75,98,55,12,15,17,8,2,43,16.957,9.517,56.1%,15.3%,14.5%,7.44,2.94,1.73,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Pulock,436.7166667,174,113,13,34,24,4,64.94%,7.5%,30.1%,16.1%,23.90565966,15.52493989,1.786055032,3.846887761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eetu Luostarinen,323.13,87,47,9,11,19,9,6,29,16.154,8.727,54.0%,12.6%,19.1%,5.38,3.53,2.79,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan Suter,609.5166667,237,146,19,49,30,4,61.60%,8.0%,33.6%,14.3%,23.3299609,14.37204342,1.870334418,3.346914222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egor Sokolov,44.18,14,4,1,3,0,1,1,6,19.012,5.432,28.6%,21.4%,25.0%,8.15,0,2.72,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sami Niku,25.4,11,4,1,2,2,0,36.36%,9.1%,50.0%,18.2%,25.98425197,9.448818899,2.362204725,4.724409449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elias Lindholm,470.05,84,57,5,30,20,22,4,33,10.722,7.276,67.9%,35.7%,38.6%,4.21,2.55,3.32,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samuel Girard,682.7666667,233,151,17,48,33,5,64.81%,7.3%,31.8%,16.3%,20.47551628,13.26954059,1.493921789,3.339354587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elias Pettersson,367.9833334,118,76,9,21,14,22,7,34,19.24,12.392,64.4%,17.8%,28.9%,5.54,2.28,4.73,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santeri Hatakka,53.71666666,28,16,4,7,6,1,57.14%,14.3%,43.8%,25.0%,31.27520944,17.87154825,4.467887062,7.818802359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emil Bemstrom,82.28,24,11,4,1,1,0,0,9,17.501,8.021,45.8%,4.2%,0.0%,6.56,0.73,0,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Harrington,25.75,9,7,0,4,3,1,77.78%,0.0%,57.1%,44.4%,20.97087379,16.31067961,0,9.32038835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Robinson,173.15,53,25,7,2,16,4,4,18,18.366,8.663,47.2%,3.8%,16.0%,6.24,5.54,2.77,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Mayfield,525.5333333,221,127,22,38,26,5,57.47%,10.0%,29.9%,14.0%,25.23151085,14.49955601,2.511734111,3.539261702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erik Brannstrom,269.8,28,8,3,3,0,1,2,0,6.227,1.779,28.6%,10.7%,12.5%,0,0,0.67,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Perunovich,85.28333334,36,22,2,6,6,0,61.11%,5.6%,27.3%,16.7%,25.32734024,15.47781903,1.407074458,4.221223373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erik Cernak,401.3,54,15,4,1,0,3,4,6,8.074,2.243,27.8%,1.9%,20.0%,0.9,0,1.05,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sean Durzi,370.65,102,57,12,21,16,3,55.88%,11.8%,36.8%,18.6%,16.51153379,9.22703359,1.942533387,3.075677863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
