Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
Adrian Kempe,428.7833333,169,107,15,26,19,20,5,28,23.648,14.973,63.3%,15.4%,18.7%,3.92,2.66,3.5,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alexandre Carrier,464.3333333,156,87,21,34,21,4,55.77%,13.5%,39.1%,16.0%,20.15793252,11.24192391,2.713567839,3.230437904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Martinez,223.67,10,1,1,1,1,0,1,1,2.683,0.268,10.0%,10.0%,0.0%,0.27,0.27,0.27,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrej Sekera,122.5333333,48,25,13,8,8,0,52.08%,27.1%,32.0%,16.7%,23.50380849,12.24156692,6.365614799,3.917301414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Regula,44.33333333,7,4,1,1,0,0,0,1,9.474,5.414,57.1%,14.3%,0.0%,1.35,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrej Sustr,153.8,48,29,1,12,8,1,60.42%,2.1%,41.4%,18.8%,18.72561768,11.31339402,0.390117035,3.511053316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksander Barkov,363.57,118,93,10,36,26,25,5,39,19.474,15.348,78.8%,30.5%,26.9%,6.44,4.29,4.95,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew Peeke,404.9666667,163,97,15,22,11,7,59.51%,9.2%,22.7%,11.0%,24.15013581,14.37155321,2.222405136,2.666886164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksi Heponiemi,10.73,2,2,0,1,0,2,0,2,11.18,11.18,100.0%,50.0%,100.0%,11.18,0,11.18,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andy Greene,466.9,194,140,17,38,23,6,72.16%,8.8%,27.1%,14.9%,24.93039195,17.9910045,2.184621975,3.726708075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Barré-Boulet,22.98333333,7,3,2,2,2,0,0,1,18.274,7.832,42.9%,28.6%,0.0%,2.61,5.22,0,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anton Stralman,355.6,132,85,8,27,25,1,64.39%,6.1%,31.8%,19.7%,22.27221597,14.34195726,1.349831271,4.386951631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Belzile,36.36666667,11,7,0,4,0,1,0,3,18.148,11.549,63.6%,36.4%,14.3%,4.95,0,1.65,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Artem Zub,511.9333333,179,90,27,26,26,1,50.28%,15.1%,28.9%,15.1%,20.97929418,10.54824847,3.164474541,3.164474541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Biega,12.35,2,0,0,0,0,0,0,0,9.717,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Artemi Kniazev,11.4,6,4,1,2,1,0,66.67%,16.7%,50.0%,16.7%,31.57894737,21.05263158,5.263157895,5.263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Chiasson,200.0166667,42,18,5,7,7,2,1,20,12.599,5.4,42.9%,16.7%,11.1%,6,2.1,0.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austin Strand,30.9,10,7,0,0,1,0,70.00%,0.0%,0.0%,10.0%,19.41747573,13.59223301,0,1.941747573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex DeBrincat,394.4,147,90,22,24,14,23,4,20,22.363,13.692,61.2%,16.3%,25.6%,3.04,2.13,4.11,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben Chiarot,445.05,171,112,10,33,25,5,65.50%,5.8%,29.5%,17.5%,23.05358948,15.09942703,1.348163128,4.044489383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
