"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Wild","MIN","21-22",82,4996.6,53,22,7,48,113,68.9,310,253,57,11.4,90.3
"Ducks","ANA","12-13",48,2936.3,30,12,6,24,66,68.8,140,118,22,9.9,91.4
"Penguins","PIT","20-21",56,3399.8,37,16,3,34,77,68.8,196,156,40,11.5,90.8
"Maple Leafs","TOR","20-21",56,3386.2,35,14,7,34,77,68.8,187,148,39,10.6,90.5
"Capitals","WSH","20-21",56,3400.7,36,15,5,33,77,68.8,191,163,28,11.4,90
"Red Wings","DET","08-09",82,4927.7,51,21,10,NA,112,68.3,295,244,51,9.7,89.4
"Blackhawks","CHI","09-10",82,5012.6,52,22,8,NA,112,68.3,271,209,62,9.4,90.1
"Avalanche","COL","13-14",82,5003,52,22,8,47,112,68.3,250,220,30,10.1,91.9
"Bruins","BOS","17-18",82,4982.4,50,20,12,47,112,68.3,270,214,56,9.9,91.2
"Canucks","VAN","11-12",82,5021.9,51,22,9,43,111,67.7,249,198,51,9.3,92.4
"Blues","STL","13-14",82,5002,52,23,7,43,111,67.7,248,191,57,9.9,91.3
"Sharks","S.J","13-14",82,5021,51,22,9,41,111,67.7,249,200,49,8.4,91.5
"Penguins","PIT","16-17",82,4989.8,50,21,11,46,111,67.7,282,234,48,10.1,91.4
"Flames","CGY","21-22",82,4966.2,50,21,11,48,111,67.7,293,208,85,10,91.3
"Canadiens","MTL","14-15",82,5007.1,50,22,10,43,110,67.1,221,189,32,9.2,92.6
"Rangers","NYR","21-22",82,4970.8,52,24,6,48,110,67.1,254,207,47,10.5,91.9
"Lightning","T.B","21-22",82,4988.1,51,23,8,49,110,67.1,287,233,54,11.2,90.7
"Lightning","T.B","20-21",56,3389.3,36,17,3,35,75,67,181,147,34,10.6,90.8
"Wild","MIN","20-21",56,3401.8,35,16,5,34,75,67,181,160,21,11.3,90.7
"Rangers","NYR","11-12",82,4998,51,24,7,47,109,66.5,226,187,39,9.5,92
"Blues","STL","11-12",82,5002.1,49,22,11,45,109,66.5,210,165,45,8.2,92.9
"Penguins","PIT","13-14",82,4986.9,51,24,7,44,109,66.5,249,207,42,9.9,91.4
"Ducks","ANA","14-15",82,5002.7,51,24,7,43,109,66.5,236,226,10,9.3,90.7
"Blues","STL","14-15",82,5003.4,51,24,7,42,109,66.5,248,201,47,9.4,91.2
"Stars","DAL","15-16",82,4968.4,50,23,9,48,109,66.5,267,230,37,10.1,90.4
"Blackhawks","CHI","16-17",82,4980,50,23,9,46,109,66.5,244,213,31,9.6,91.8
"Golden Knights","VGK","17-18",82,4985.7,51,24,7,47,109,66.5,272,228,44,10,91.1
"Blues","STL","21-22",82,4964.2,49,22,11,47,109,66.5,311,242,69,12.4,90.8
"Blues","STL","19-20",71,4320.9,42,19,10,40,94,66.2,225,193,32,10.2,91
"Sharks","S.J","07-08",82,4999.8,49,23,10,NA,108,65.9,222,193,29,8.9,90.6
"Capitals","WSH","08-09",82,4985.6,50,24,8,NA,108,65.9,272,245,27,9.8,90.1
"Penguins","PIT","11-12",82,4995.6,51,25,6,42,108,65.9,282,221,61,9.8,90.3
"Lightning","T.B","14-15",82,4977,50,24,8,47,108,65.9,262,211,51,10.7,91
"Blue Jackets","CBJ","16-17",82,4969.7,50,24,8,48,108,65.9,249,195,54,9.7,92.2
"Avalanche","COL","19-20",70,4239.6,42,20,8,41,92,65.7,237,191,46,10.5,91.3
"Lightning","T.B","19-20",70,4243.1,43,21,6,41,92,65.7,245,195,50,11.2,91
"Canadiens","MTL","12-13",48,2918.7,29,14,5,26,63,65.6,149,126,23,9.9,90.4
"Coyotes","ARI","09-10",82,5032.6,50,25,7,NA,107,65.2,225,202,23,8.4,91.9
"Capitals","WSH","10-11",82,4950.6,48,23,11,43,107,65.2,224,197,27,8.5,91.9
"Blackhawks","CHI","13-14",82,5007.4,46,21,15,40,107,65.2,267,220,47,9.6,90.5
"Blues","STL","15-16",82,5005.1,49,24,9,44,107,65.2,224,201,23,8.9,91.9
"Flames","CGY","18-19",82,4950.9,50,25,7,50,107,65.2,289,227,62,10.9,90.3
"Bruins","BOS","18-19",82,4983.5,49,24,9,47,107,65.2,259,215,44,9.6,91.2
"Capitals","WSH","19-20",69,4198,41,20,8,37,90,65.2,240,215,25,10.7,89.8
"Bruins","BOS","20-21",56,3410.4,33,16,7,29,73,65.2,168,136,32,8.8,91.2
"Bruins","BOS","21-22",82,4959.6,51,26,5,49,107,65.2,255,220,35,8.5,90.7
"Devils","N.J","08-09",82,4992.1,51,27,4,NA,106,64.6,244,209,35,8.8,91.4
"Flyers","PHI","10-11",82,4988.3,47,23,12,44,106,64.6,259,223,36,9.8,91.3
"Penguins","PIT","10-11",82,5016.1,49,25,8,39,106,64.6,238,199,39,8.8,91.7
"Bruins","BOS","12-13",48,2923.1,28,14,6,24,62,64.6,131,109,22,8.2,92.3
"Wild","MIN","16-17",82,4967.4,49,25,8,46,106,64.6,266,208,58,10.4,91.6
"Flyers","PHI","19-20",69,4205.6,41,21,7,36,89,64.5,232,196,36,10.5,90.3
"Oilers","EDM","20-21",56,3369.1,35,19,2,35,72,64.3,183,154,29,10.9,91
"Sharks","S.J","10-11",82,4998.8,48,25,9,43,105,64,248,213,35,8.6,91.2
"Ducks","ANA","16-17",82,4979.8,46,23,13,43,105,64,223,200,23,9.1,91.9
"Capitals","WSH","17-18",82,4975.1,49,26,7,46,105,64,259,239,20,10.8,90.9
"Maple Leafs","TOR","17-18",82,4988.1,49,26,7,42,105,64,277,232,45,10.2,91.7
"Canadiens","MTL","07-08",82,4995.5,47,25,10,NA,104,63.4,262,222,40,10.8,91.6
"Blackhawks","CHI","08-09",82,4995.6,46,24,12,NA,104,63.4,264,216,48,9.7,91.1
"Red Wings","DET","10-11",82,5004.6,47,25,10,43,104,63.4,261,241,20,9.3,90.6
"Predators","NSH","11-12",82,4982.7,48,26,8,43,104,63.4,237,210,27,10.3,91.9
"Predators","NSH","14-15",82,5010.1,47,25,10,41,104,63.4,232,208,24,8.6,91.3
"Penguins","PIT","15-16",82,4984.7,48,26,8,44,104,63.4,245,203,42,8.9,91.8
"Capitals","WSH","18-19",82,4977.8,48,26,8,44,104,63.4,278,249,29,11,90.4
"Islanders","NYI","20-21",56,3417.7,32,17,7,28,71,63.4,156,128,28,9.4,92.1
"Oilers","EDM","21-22",82,4979.2,49,27,6,44,104,63.4,290,252,38,10.2,90.5
"Canucks","VAN","09-10",82,4972.8,49,28,5,NA,103,62.8,272,222,50,10.6,91
"Devils","N.J","09-10",82,4990,48,27,7,NA,103,62.8,222,191,31,8.8,91.6
"Bruins","BOS","10-11",82,4980.1,46,25,11,44,103,62.8,246,195,51,9.1,93
"Lightning","T.B","10-11",82,5013.2,46,25,11,40,103,62.8,247,240,7,9.2,90.1
"Flyers","PHI","11-12",82,5002,47,26,9,43,103,62.8,264,232,32,9.8,90.3
"Blackhawks","CHI","15-16",82,4972.6,47,26,9,46,103,62.8,235,209,26,9.4,91.8
"Ducks","ANA","15-16",82,4977,46,25,11,43,103,62.8,218,192,26,8.7,91.7
"Panthers","FLA","15-16",82,4986.2,47,26,9,40,103,62.8,239,203,36,9.8,91.7
"Canadiens","MTL","16-17",82,4987.4,47,26,9,44,103,62.8,226,200,26,9.1,91.8
"Oilers","EDM","16-17",82,4991.1,47,26,9,43,103,62.8,247,212,35,9.5,91.4
"Islanders","NYI","18-19",82,4983.2,48,27,7,43,103,62.8,228,196,32,9.4,92.5
"Penguins","PIT","21-22",82,4992.6,46,25,11,43,103,62.8,272,229,43,9.4,91.4
"Blues","STL","12-13",48,2919.8,29,17,2,24,60,62.5,129,115,14,9.3,90.2
"Penguins","PIT","19-20",69,4194,40,23,6,37,86,62.3,224,196,28,10,90.4
"Penguins","PIT","07-08",82,4986.2,47,27,8,NA,102,62.2,247,216,31,10.6,91.6
"Ducks","ANA","07-08",82,5007.3,47,27,8,NA,102,62.2,205,191,14,8.8,92
"Red Wings","DET","09-10",82,5015.1,44,24,14,NA,102,62.2,229,216,13,8.1,91.4
"Bruins","BOS","11-12",82,4988.9,49,29,4,40,102,62.2,269,202,67,9.8,91.8
"Red Wings","DET","11-12",82,4999.3,48,28,6,39,102,62.2,248,203,45,9.1,91
"Devils","N.J","11-12",82,5013.5,48,28,6,36,102,62.2,228,209,19,9.6,90.7
"Blackhawks","CHI","14-15",82,4994.2,48,28,6,39,102,62.2,229,189,40,7.9,92.5
"Kings","L.A","15-16",82,4984.6,48,28,6,46,102,62.2,225,195,30,8.5,91.5
"Rangers","NYR","16-17",82,4974.2,48,28,6,45,102,62.2,256,220,36,10.4,91.2
"Penguins","PIT","09-10",82,4932.9,47,28,7,NA,101,61.6,257,237,20,9.3,90
"Kings","L.A","09-10",82,5019.9,46,27,9,NA,101,61.6,241,219,22,9.7,90.7
"Blackhawks","CHI","11-12",82,5016.2,45,26,11,38,101,61.6,248,238,10,9.3,90.1
"Lightning","T.B","13-14",82,5013.1,46,27,9,38,101,61.6,240,215,25,9.5,91.3
"Canucks","VAN","14-15",82,4979.8,48,29,5,42,101,61.6,242,222,20,9.6,91
"Capitals","WSH","14-15",82,5001.9,45,26,11,40,101,61.6,242,203,39,9.8,91.6
"Islanders","NYI","14-15",82,5007.9,47,28,7,40,101,61.6,252,230,22,8.9,90.3
"Rangers","NYR","15-16",82,4974.5,46,27,9,43,101,61.6,236,217,19,10,91.4
"Wild","MIN","17-18",82,4978.9,45,26,11,42,101,61.6,253,232,21,10.1,91.1
"Ducks","ANA","17-18",82,5002.3,44,25,13,40,101,61.6,235,216,19,9.3,92.3
"Sharks","S.J","18-19",82,4962.1,46,27,9,46,101,61.6,289,261,28,10.7,88.9
"Kings","L.A","12-13",48,2917.2,27,16,5,25,59,61.5,133,118,15,9.2,90.5
"Canucks","VAN","12-13",48,2943.7,26,15,7,21,59,61.5,127,121,6,9,91.7
"Canucks","VAN","08-09",82,4930.4,45,27,10,NA,100,61,246,220,26,10.5,91.2
"Predators","NSH","09-10",82,4990.8,47,29,6,NA,100,61,225,225,0,8.7,90.8
"Sabres","BUF","09-10",82,4991.8,45,27,10,NA,100,61,235,207,28,8.9,92.2
"Canadiens","MTL","13-14",82,4991.6,46,28,8,40,100,61,215,204,11,9,92.1
"Kings","L.A","13-14",82,5001.5,46,28,8,38,100,61,206,174,32,7.6,92.2
"Wild","MIN","14-15",82,4973.5,46,28,8,42,100,61,231,201,30,9,91.3
"Red Wings","DET","14-15",82,5017.6,43,25,14,39,100,61,235,221,14,9.5,90.9
"Islanders","NYI","15-16",82,5005,45,27,10,40,100,61,232,216,16,9.4,91.5
"Penguins","PIT","17-18",82,4966.3,47,29,6,45,100,61,272,250,22,9.6,90.3
"Sharks","S.J","17-18",82,4985.4,45,27,10,40,100,61,252,229,23,9.1,90.9
"Maple Leafs","TOR","18-19",82,4958.2,46,28,8,46,100,61,286,251,35,10.4,90.8
"Predators","NSH","18-19",82,4967.4,47,29,6,43,100,61,240,214,26,8.8,91.4
"Penguins","PIT","18-19",82,4981.5,44,26,12,42,100,61,273,241,32,9.9,91.3
"Capitals","WSH","21-22",82,4991.8,44,26,12,39,100,61,275,245,30,10.5,89.8
"Golden Knights","VGK","19-20",71,4313.8,39,24,8,36,86,60.6,227,211,16,9.1,90
"Devils","N.J","07-08",82,5002.2,46,29,7,NA,99,60.4,206,197,9,8.4,91.4
"Penguins","PIT","08-09",82,5009.8,45,28,9,NA,99,60.4,264,239,25,10.8,90.6
"Flyers","PHI","08-09",82,5004.8,44,27,11,NA,99,60.4,264,238,26,10.7,91.3
"Ducks","ANA","10-11",82,4992.7,47,30,5,43,99,60.4,239,235,4,10.1,91.2
"Predators","NSH","10-11",82,4994.2,44,27,11,38,99,60.4,219,194,25,9,92.4
"Coyotes","ARI","10-11",82,4995.5,43,26,13,38,99,60.4,231,226,5,9.1,91.8
"Senators","OTT","14-15",82,5026.4,43,26,13,37,99,60.4,238,215,23,9.1,92.1
"Jets","WPG","14-15",82,5009.8,43,26,13,36,99,60.4,230,210,20,9.1,91.3
"Blues","STL","16-17",82,4964.6,46,29,7,44,99,60.4,235,218,17,10,90.7
"Sharks","S.J","16-17",82,4955.9,46,29,7,44,99,60.4,221,201,20,8.9,91.2
"Jets","WPG","18-19",82,4966.7,47,30,5,45,99,60.4,272,244,28,10.6,91.1
"Hurricanes","CAR","18-19",82,4957.9,46,29,7,44,99,60.4,245,223,22,8.6,90.6
"Blues","STL","18-19",82,4981,45,28,9,42,99,60.4,247,223,24,9.4,90.6
"Kings","L.A","21-22",82,4992.2,44,27,11,40,99,60.4,239,236,3,8.2,90.1
"Wild","MIN","07-08",82,4939,44,28,10,NA,98,59.8,223,218,5,10,91.4
"Flames","CGY","08-09",82,4900.2,46,30,6,NA,98,59.8,254,248,6,9.5,89.9
"Kings","L.A","10-11",82,4993.8,46,30,6,36,98,59.8,219,198,21,8.8,91.4
"Wild","MIN","13-14",82,5020,43,27,12,35,98,59.8,207,206,1,9.1,91.3
"Penguins","PIT","14-15",82,5001.6,43,27,12,39,98,59.8,221,210,11,8.4,91.5
"Sharks","S.J","15-16",82,4975.9,46,30,6,42,98,59.8,241,210,31,9.5,90.8
"Senators","OTT","16-17",82,4994,44,28,10,38,98,59.8,212,214,-2,8.4,91.5
"Kings","L.A","17-18",82,4982.5,45,29,8,43,98,59.8,239,203,36,9.3,92
"Flyers","PHI","17-18",82,4996.9,42,26,14,40,98,59.8,251,243,8,9.5,90.4
"Blue Jackets","CBJ","18-19",82,4953.4,47,31,4,45,98,59.8,258,232,26,9.9,90.4
"Stars","DAL","21-22",82,4990.8,46,30,6,41,98,59.8,238,246,-8,9.4,90.4
"Hurricanes","CAR","19-20",68,4129,38,25,5,33,81,59.6,222,193,29,9.6,90.3
"Maple Leafs","TOR","12-13",48,2911.2,26,17,5,26,57,59.4,145,133,12,11.5,91.7
"Capitals","WSH","12-13",48,2909.5,27,18,3,24,57,59.4,149,130,19,10.8,91.6
"Sharks","S.J","12-13",48,2948.3,25,16,7,17,57,59.4,124,116,8,7.6,91.9
"Stars","DAL","19-20",69,4191.8,37,24,8,35,82,59.4,180,177,3,8.4,92
"Stars","DAL","07-08",82,4975.1,45,30,7,NA,97,59.1,242,207,35,10.8,90.5
"Rangers","NYR","07-08",82,5018.5,42,27,13,NA,97,59.1,213,199,14,7.9,91.1
"Hurricanes","CAR","08-09",82,4986,45,30,7,NA,97,59.1,239,226,13,8.8,90.9
"Blackhawks","CHI","10-11",82,5000.2,44,29,9,38,97,59.1,258,225,33,9.6,90.7
"Coyotes","ARI","11-12",82,5012,42,27,13,36,97,59.1,216,204,12,8.6,92.5
"Flames","CGY","14-15",82,4991,45,30,7,41,97,59.1,241,216,25,10.6,91.1
"Lightning","T.B","15-16",82,4966.7,46,31,5,43,97,59.1,227,201,26,9.3,91.6
"Blue Jackets","CBJ","17-18",82,4995.4,45,30,7,39,97,59.1,242,230,12,8.5,91.2
"Devils","N.J","17-18",82,4989.8,44,29,9,39,97,59.1,248,244,4,9.3,90.8
"Predators","NSH","21-22",82,4977.4,45,30,7,41,97,59.1,266,252,14,10.7,90.6
"Islanders","NYI","19-20",68,4146,35,23,10,32,80,58.8,192,193,-1,9.4,91.1
"Canadiens","MTL","10-11",82,4974,44,30,8,41,96,58.5,216,209,7,8.2,91.9
"Sabres","BUF","10-11",82,4999.1,43,29,10,38,96,58.5,245,229,16,8.9,90.9
"Sharks","S.J","11-12",82,5018,43,29,10,34,96,58.5,228,210,18,7.9,91.3
"Rangers","NYR","13-14",82,4966.9,45,31,6,41,96,58.5,218,193,25,7.9,92.1
"Bruins","BOS","14-15",82,5025.3,41,27,14,37,96,58.5,213,211,2,8.2,91.8
"Flyers","PHI","15-16",82,5012.6,41,27,14,38,96,58.5,214,218,-4,8.3,91.7
"Predators","NSH","15-16",82,4980.2,41,27,14,37,96,58.5,228,215,13,8.9,90.5
"Panthers","FLA","17-18",82,4972.5,44,30,8,41,96,58.5,248,246,2,8.7,91.4
"Canadiens","MTL","18-19",82,4957.7,44,30,8,41,96,58.5,249,236,13,8.8,90.7
"Oilers","EDM","19-20",71,4300.1,37,25,9,35,83,58.5,225,217,8,10.6,90.5
"Rangers","NYR","12-13",48,2927.2,26,18,4,22,56,58.3,130,112,18,8.5,92
"Red Wings","DET","12-13",48,2927.7,24,16,8,22,56,58.3,124,115,9,8.4,91.7
"Senators","OTT","12-13",48,2931.5,25,17,6,21,56,58.3,116,104,12,7.1,93.3
"Avalanche","COL","07-08",82,4988.2,44,31,7,NA,95,57.9,231,219,12,9.5,90.3
"Flyers","PHI","07-08",82,4985.7,42,29,11,NA,95,57.9,248,233,15,10.4,91.3
"Rangers","NYR","08-09",82,5010.7,43,30,9,NA,95,57.9,210,218,-8,7.6,91.3
"Avalanche","COL","09-10",82,4995.3,43,30,9,NA,95,57.9,244,233,11,10.4,91.3
"Stars","DAL","10-11",82,5002.2,42,29,11,37,95,57.9,227,233,-6,9.8,91
"Kings","L.A","11-12",82,5018.4,40,27,15,34,95,57.9,194,179,15,7.5,92.4
"Kings","L.A","14-15",82,4990.7,40,27,15,38,95,57.9,220,205,15,8.6,91.1
"Bruins","BOS","16-17",82,4964.1,44,31,7,42,95,57.9,234,212,22,8.5,90.5
"Maple Leafs","TOR","16-17",82,4991.7,40,27,15,39,95,57.9,251,242,9,9.6,91.2
"Avalanche","COL","17-18",82,4962.2,43,30,9,41,95,57.9,257,237,20,10.5,91.4
"Maple Leafs","TOR","19-20",70,4261.9,36,25,9,35,81,57.9,238,227,11,10.3,90.1
"Blue Jackets","CBJ","19-20",70,4261.8,33,22,15,33,81,57.9,180,187,-7,7.9,91.3
"Capitals","WSH","07-08",82,4987.3,43,31,8,NA,94,57.3,242,231,11,9.4,90
"Senators","OTT","07-08",82,4978.6,43,31,8,NA,94,57.3,261,247,14,10.4,90.1
"Flames","CGY","07-08",82,4975.3,42,30,10,NA,94,57.3,229,227,2,9.8,90.4
"Bruins","BOS","07-08",82,4942.7,41,29,12,NA,94,57.3,212,222,-10,8.8,91.4
"Senators","OTT","09-10",82,4986.5,44,32,6,NA,94,57.3,225,238,-13,9,90
"Flames","CGY","10-11",82,5018.7,41,29,12,32,94,57.3,250,237,13,9.6,90.2
"Panthers","FLA","11-12",82,5025.8,38,26,18,32,94,57.3,203,227,-24,8.1,91.4
