"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Canadiens","MTL","09-10",82,5016,39,33,10,NA,88,53.7,217,223,-6,9,91.7
"Stars","DAL","09-10",82,4958,37,31,14,NA,88,53.7,237,254,-17,9.1,90.5
"Avalanche","COL","11-12",82,5006.5,41,35,6,32,88,53.7,208,220,-12,7.7,91
"Predators","NSH","13-14",82,4989.9,38,32,12,36,88,53.7,216,242,-26,9,90.1
"Devils","N.J","13-14",82,5014.6,35,29,18,35,88,53.7,197,208,-11,9,90.7
"Senators","OTT","13-14",82,5008.7,37,31,14,30,88,53.7,236,265,-29,8.5,90.9
"Flyers","PHI","16-17",82,5007.7,39,33,10,32,88,53.7,219,236,-17,8.2,90.1
"Rangers","NYR","20-21",56,3390.4,27,23,6,26,60,53.6,177,157,20,10.9,90.7
"Stars","DAL","20-21",56,3435.2,23,19,14,21,60,53.6,158,154,4,9.2,90.3
"Jets","WPG","12-13",48,2917.4,24,21,3,22,51,53.1,128,144,-16,9.1,90.1
"Coyotes","ARI","12-13",48,2945.2,21,18,9,17,51,53.1,125,131,-6,8.2,91.5
"Rangers","NYR","09-10",82,4977.1,38,33,11,NA,87,53,222,218,4,9,91.3
"Blues","STL","10-11",82,4987.8,38,33,11,34,87,53,240,234,6,9.5,90
"Wild","MIN","15-16",82,4978.5,38,33,11,35,87,53,216,206,10,9,91.3
"Jets","WPG","16-17",82,4964.8,40,35,7,37,87,53,249,256,-7,10,90
"Hurricanes","CAR","16-17",82,4993.1,36,31,15,33,87,53,215,236,-21,8.5,90.1
"Coyotes","ARI","19-20",70,4260.1,33,29,8,28,74,52.9,195,187,8,8.6,91.9
"Canadiens","MTL","20-21",56,3409.2,24,21,11,23,59,52.7,159,168,-9,9,89.6
"Wild","MIN","10-11",82,4985.2,39,35,8,36,86,52.4,206,233,-27,9.5,91.3
"Hurricanes","CAR","15-16",82,5004.6,35,31,16,33,86,52.4,198,226,-28,8,90.2
"Kings","L.A","16-17",82,4978.5,39,35,8,37,86,52.4,201,205,-4,7.8,90.5
"Coyotes","ARI","18-19",82,4980.4,39,35,8,35,86,52.4,213,223,-10,8.3,91.3
"Panthers","FLA","18-19",82,4999.2,36,32,14,33,86,52.4,267,280,-13,9.8,89.2
"Panthers","FLA","07-08",82,4988,38,35,9,NA,85,51.8,216,226,-10,8.3,92
"Oilers","EDM","08-09",82,4985,38,35,9,NA,85,51.8,234,248,-14,9.9,90.9
"Maple Leafs","TOR","10-11",82,4994.7,37,34,11,32,85,51.8,218,251,-33,9,90.4
"Senators","OTT","15-16",82,5003.6,38,35,9,32,85,51.8,236,247,-11,9.9,91
"Flyers","PHI","20-21",56,3420.8,25,23,8,22,58,51.8,163,201,-38,9.5,88
"Blackhawks","CHI","19-20",70,4256,32,30,8,28,72,51.4,212,218,-6,9.3,91.3
"Wild","MIN","09-10",82,4994.9,38,36,8,NA,84,51.2,219,246,-27,9.4,90.1
"Lightning","T.B","11-12",82,4991,38,36,8,35,84,51.2,235,281,-46,10.4,88.9
"Jets","WPG","11-12",82,4985.5,37,35,10,33,84,51.2,225,246,-21,8.9,90.2
"Jets","WPG","13-14",82,5013,37,35,10,29,84,51.2,227,237,-10,8.7,90.7
"Maple Leafs","TOR","13-14",82,5007.2,38,36,8,29,84,51.2,231,256,-25,9.7,91.4
"Flyers","PHI","14-15",82,5021.4,33,31,18,30,84,51.2,215,234,-19,8.8,91
"Devils","N.J","15-16",82,4991.3,38,36,8,36,84,51.2,184,208,-24,9.1,91.4
"Flames","CGY","17-18",82,4979.8,37,35,10,35,84,51.2,218,248,-30,7.8,90.5
"Blackhawks","CHI","18-19",82,4979.3,36,34,12,33,84,51.2,270,292,-22,10,89.8
